source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,mass_30000,0.05,4800000,-200000,100,32,0.32,1000,47,0.047
truth,mass_30000,0.05,4900000,-100000,100,60,0.6,1000,51,0.051
truth,mass_30000,0.05,4950000,-50000,100,77,0.77,1000,46,0.046
truth,mass_30000,0.05,4980000,-20000,100,95,0.95,1000,55,0.055
truth,mass_30000,0.05,4990000,-10000,100,95,0.95,1000,52,0.052
truth,mass_30000,0.05,5000000,0,100,100,1.0,1000,50,0.05
truth,mass_30000,0.05,5010000,10000,100,95,0.95,1000,48,0.048
truth,mass_30000,0.05,5020000,20000,100,90,0.9,1000,51,0.051
truth,mass_30000,0.05,5050000,50000,100,84,0.84,1000,52,0.052
truth,mass_30000,0.05,5100000,100000,100,65,0.65,1000,48,0.048
truth,mass_30000,0.05,5200000,200000,100,44,0.44,1000,52,0.052
truth,mass_30000,0.05,5500000,500000,100,14,0.14,1000,48,0.048
truth,mass_30000,0.05,6000000,1000000,100,9,0.09,1000,49,0.049
truth,mass_30000,0.05,7000000,2000000,100,8,0.08,1000,56,0.056
truth,all_40000,0.01,3000000,-2000000,100,0,0.0,1000,8,0.008
truth,all_40000,0.01,4000000,-1000000,100,0,0.0,1000,10,0.01
truth,all_40000,0.01,4500000,-500000,100,1,0.01,1000,9,0.009
truth,all_40000,0.01,4800000,-200000,100,7,0.07,1000,13,0.013
truth,all_40000,0.01,4900000,-100000,100,18,0.18,1000,10,0.01
truth,all_40000,0.01,4950000,-50000,100,31,0.31,1000,11,0.011
truth,all_40000,0.01,4980000,-20000,100,34,0.34,1000,11,0.011
truth,all_40000,0.01,4990000,-10000,100,40,0.4,1000,9,0.009
truth,all_40000,0.01,5000000,0,100,47,0.47,1000,11,0.011
truth,all_40000,0.01,5010000,10000,100,42,0.42,1000,12,0.012
truth,all_40000,0.01,5020000,20000,100,40,0.4,1000,7,0.007
truth,all_40000,0.01,5050000,50000,100,20,0.2,1000,9,0.009
truth,all_40000,0.01,5100000,100000,100,14,0.14,1000,12,0.012
truth,all_40000,0.01,5200000,200000,100,7,0.07,1000,14,0.014
truth,all_40000,0.01,5500000,500000,100,2,0.02,1000,11,0.011
truth,all_40000,0.01,6000000,1000000,100,1,0.01,1000,7,0.007
truth,all_40000,0.01,7000000,2000000,100,0,0.0,1000,12,0.012
truth,all_40000,0.05,3000000,-2000000,100,5,0.05,1000,54,0.054
truth,all_40000,0.05,4000000,-1000000,100,5,0.05,1000,48,0.048
truth,all_40000,0.05,4500000,-500000,100,4,0.04,1000,50,0.05
truth,all_40000,0.05,4800000,-200000,100,17,0.17,1000,51,0.051
truth,all_40000,0.05,4900000,-100000,100,33,0.33,1000,48,0.048
truth,all_40000,0.05,4950000,-50000,100,51,0.51,1000,52,0.052
truth,all_40000,0.05,4980000,-20000,100,57,0.57,1000,55,0.055
truth,all_40000,0.05,4990000,-10000,100,66,0.66,1000,52,0.052
truth,all_40000,0.05,5000000,0,100,76,0.76,1000,53,0.053
truth,all_40000,0.05,5010000,10000,100,75,0.75,1000,56,0.056
truth,all_40000,0.05,5020000,20000,100,66,0.66,1000,51,0.051
truth,all_40000,0.05,5050000,50000,100,44,0.44,1000,52,0.052
truth,all_40000,0.05,5100000,100000,100,28,0.28,1000,49,0.049
truth,all_40000,0.05,5200000,200000,100,16,0.16,1000,50,0.05
truth,all_40000,0.05,5500000,500000,100,5,0.05,1000,49,0.049
truth,all_40000,0.05,6000000,1000000,100,5,0.05,1000,46,0.046
truth,all_40000,0.05,7000000,2000000,100,1,0.01,1000,57,0.057
truth,mass_40000,0.01,3000000,-2000000,100,2,0.02,1000,16,0.016
truth,mass_40000,0.01,4000000,-1000000,100,0,0.0,1000,9,0.009
truth,mass_40000,0.01,4500000,-500000,100,4,0.04,1000,11,0.011
truth,mass_40000,0.01,4800000,-200000,100,19,0.19,1000,15,0.015
truth,mass_40000,0.01,4900000,-100000,100,39,0.39,1000,10,0.01
truth,mass_40000,0.01,4950000,-50000,100,54,0.54,1000,10,0.01
truth,mass_40000,0.01,4980000,-20000,100,83,0.83,1000,6,0.006
truth,mass_40000,0.01,4990000,-10000,100,89,0.89,1000,9,0.009
truth,mass_40000,0.01,5000000,0,100,99,0.99,1000,8,0.008
truth,mass_40000,0.01,5010000,10000,100,90,0.9,1000,9,0.009
truth,mass_40000,0.01,5020000,20000,100,81,0.81,1000,10,0.01
truth,mass_40000,0.01,5050000,50000,100,71,0.71,1000,10,0.01
truth,mass_40000,0.01,5100000,100000,100,38,0.38,1000,10,0.01
truth,mass_40000,0.01,5200000,200000,100,19,0.19,1000,9,0.009
