source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
decoded,10000,0.001,50000,1,3,selected,0.0,0.03,0.03,0.0,0.0,0.0,0.02
decoded,10000,0.001,50000,1,5,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,1,5,selected,0.0,0.01,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,1,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,1,10,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,1,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.01,10000,0,1,neutral,0.015,0.012,0.045,0.072,0.147,0.307,0.927
decoded,10000,0.01,10000,0,1,selected,0.19,0.12,0.3,0.24,0.19,0.2,1.2
decoded,10000,0.01,10000,0,3,neutral,0.014,0.005,0.029,0.051,0.106,0.203,0.62
decoded,10000,0.01,10000,0,3,selected,0.15,0.12,0.22,0.13,0.13,0.1,0.74
decoded,10000,0.01,10000,0,5,neutral,0.011,0.003,0.021,0.038,0.076,0.154,0.479
decoded,10000,0.01,10000,0,5,selected,0.14,0.11,0.19,0.11,0.1,0.08,0.65
decoded,10000,0.01,10000,0,10,neutral,0.007,0.002,0.012,0.019,0.041,0.083,0.244
decoded,10000,0.01,10000,0,10,selected,0.11,0.08,0.1,0.08,0.07,0.03,0.32
decoded,10000,0.01,10000,0,20,neutral,0.001,0.001,0.002,0.002,0.006,0.01,0.032
decoded,10000,0.01,10000,0,20,selected,0.03,0.02,0.04,0.03,0.0,0.0,0.06
decoded,10000,0.01,10000,1,1,neutral,0.012,0.011,0.04,0.065,0.135,0.281,0.823
decoded,10000,0.01,10000,1,1,selected,0.17,0.12,0.25,0.22,0.13,0.16,1.05
decoded,10000,0.01,10000,1,3,neutral,0.012,0.005,0.027,0.047,0.109,0.201,0.615
decoded,10000,0.01,10000,1,3,selected,0.14,0.12,0.21,0.14,0.1,0.09,0.74
decoded,10000,0.01,10000,1,5,neutral,0.011,0.003,0.022,0.037,0.078,0.156,0.492
decoded,10000,0.01,10000,1,5,selected,0.13,0.11,0.17,0.11,0.1,0.08,0.64
decoded,10000,0.01,10000,1,10,neutral,0.008,0.002,0.012,0.018,0.041,0.085,0.254
decoded,10000,0.01,10000,1,10,selected,0.11,0.08,0.09,0.08,0.07,0.04,0.35
decoded,10000,0.01,10000,1,20,neutral,0.001,0.001,0.002,0.003,0.006,0.01,0.035
decoded,10000,0.01,10000,1,20,selected,0.04,0.02,0.04,0.03,0.02,0.0,0.07
decoded,10000,0.01,20000,0,1,neutral,0.011,0.01,0.04,0.059,0.129,0.256,0.788
decoded,10000,0.01,20000,0,1,selected,0.14,0.11,0.27,0.2,0.15,0.12,0.99
decoded,10000,0.01,20000,0,3,neutral,0.01,0.005,0.018,0.034,0.072,0.152,0.457
decoded,10000,0.01,20000,0,3,selected,0.13,0.1,0.2,0.09,0.09,0.06,0.59
decoded,10000,0.01,20000,0,5,neutral,0.009,0.003,0.012,0.02,0.045,0.089,0.272
decoded,10000,0.01,20000,0,5,selected,0.1,0.07,0.12,0.07,0.08,0.04,0.36
decoded,10000,0.01,20000,0,10,neutral,0.001,0.001,0.002,0.004,0.007,0.011,0.038
decoded,10000,0.01,20000,0,10,selected,0.04,0.01,0.07,0.02,0.0,0.0,0.06
decoded,10000,0.01,20000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.001
decoded,10000,0.01,20000,0,20,selected,0.01,0.0,0.0,0.01,0.0,0.0,0.01
decoded,10000,0.01,20000,1,1,neutral,0.011,0.01,0.039,0.052,0.122,0.235,0.724
decoded,10000,0.01,20000,1,1,selected,0.12,0.1,0.24,0.17,0.12,0.11,0.95
decoded,10000,0.01,20000,1,3,neutral,0.01,0.005,0.019,0.035,0.073,0.155,0.467
decoded,10000,0.01,20000,1,3,selected,0.11,0.09,0.2,0.08,0.09,0.06,0.57
decoded,10000,0.01,20000,1,5,neutral,0.009,0.003,0.012,0.02,0.045,0.091,0.282
