source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,880000.0,neutral,20000,1000,0.07549223,0.0005753132260213867
decoded,880000.0,neutral,30000,1000,0.12950936000000002,0.0010188349743188519
decoded,880000.0,neutral,40000,1000,0.17504792,0.0013784117439319102
decoded,880000.0,neutral,50000,1000,0.21256252999999997,0.0016560602630018612
decoded,880000.0,selected,5000,99,0.004688686868686869,6.984103729106334e-05
decoded,880000.0,selected,10000,99,0.0213240404040404,0.00041708522994364755
decoded,880000.0,selected,20000,99,0.07523363636363636,0.0017586912865316397
decoded,880000.0,selected,30000,99,0.1285368686868687,0.003112294472583647
decoded,880000.0,selected,40000,99,0.17327545454545454,0.004113960099831313
decoded,880000.0,selected,50000,99,0.21051616161616163,0.004824439965356115
decoded,930000.0,neutral,5000,1000,0.00468946,2.454451754958206e-05
decoded,930000.0,neutral,10000,1000,0.02134335,0.00013435819663311393
decoded,930000.0,neutral,20000,1000,0.07628729,0.0006002858477883307
decoded,930000.0,neutral,30000,1000,0.13041397999999998,0.0010719305261127758
decoded,930000.0,neutral,40000,1000,0.17567551,0.0014257700957397746
decoded,930000.0,neutral,50000,1000,0.21313364,0.0016867868366758092
decoded,930000.0,selected,5000,99,0.004694444444444445,6.817378423696801e-05
decoded,930000.0,selected,10000,99,0.021706868686868684,0.00048031350663503417
decoded,930000.0,selected,20000,99,0.07713232323232323,0.0017879024505583318
decoded,930000.0,selected,30000,99,0.1306808080808081,0.003005737767579445
decoded,930000.0,selected,40000,99,0.17606090909090907,0.003946299797030356
decoded,930000.0,selected,50000,99,0.21344030303030298,0.0045811242136742
decoded,980000.0,neutral,5000,1000,0.0046837,2.4438284304339774e-05
decoded,980000.0,neutral,10000,1000,0.021343360000000002,0.00013309890243059193
decoded,980000.0,neutral,20000,1000,0.07651911,0.000587935923684085
decoded,980000.0,neutral,30000,1000,0.13064075,0.0010571864577944821
decoded,980000.0,neutral,40000,1000,0.17696783,0.001438323210216726
decoded,980000.0,neutral,50000,1000,0.21503746,0.0017398062520128338
decoded,980000.0,selected,5000,99,0.0047558585858585856,6.871362872563947e-05
decoded,980000.0,selected,10000,99,0.021527575757575763,0.00045888033566440187
decoded,980000.0,selected,20000,99,0.0776429292929293,0.0020004366625588554
decoded,980000.0,selected,30000,99,0.13310808080808081,0.003501436091620949
decoded,980000.0,selected,40000,99,0.17979000000000003,0.004719240196838535
decoded,980000.0,selected,50000,99,0.2182619191919192,0.005643938409341008
decoded,1030000.0,neutral,5000,1000,0.00470622,2.4396448477151305e-05
decoded,1030000.0,neutral,10000,1000,0.021303199999999998,0.0001371592038734813
decoded,1030000.0,neutral,20000,1000,0.07626893,0.0006002851695985333
decoded,1030000.0,neutral,30000,1000,0.13067,0.0010716095993099975
decoded,1030000.0,neutral,40000,1000,0.17704535,0.0014499542180054553
decoded,1030000.0,neutral,50000,1000,0.21520475,0.0017455526840259533
decoded,1030000.0,selected,5000,99,0.00475929292929293,7.226669218617299e-05
decoded,1030000.0,selected,10000,99,0.021435454545454546,0.0004394966825904188
decoded,1030000.0,selected,20000,99,0.07689333333333334,0.0018715776407588816
decoded,1030000.0,selected,30000,99,0.1336189898989899,0.0035074215113845343
decoded,1030000.0,selected,40000,99,0.18202252525252524,0.004881207469510887
decoded,1030000.0,selected,50000,99,0.22119868686868682,0.0057970723008529505
decoded,1080000.0,neutral,5000,1000,0.00472854,2.4601908916226853e-05
decoded,1080000.0,neutral,10000,1000,0.021304999999999998,0.00013834313218306942
decoded,1080000.0,neutral,20000,1000,0.0757903,0.0005573734041211705
decoded,1080000.0,neutral,30000,1000,0.13022026,0.0009951824161297132
decoded,1080000.0,neutral,40000,1000,0.17622922,0.0013580797332091194
decoded,1080000.0,neutral,50000,1000,0.21422922,0.0016421522935912332
decoded,1080000.0,selected,5000,99,0.004750101010101011,6.774080479817228e-05
decoded,1080000.0,selected,10000,99,0.02186959595959596,0.00045899550006780766
decoded,1080000.0,selected,20000,99,0.07778,0.001787453825159378
decoded,1080000.0,selected,30000,99,0.1345409090909091,0.00324932160463544
decoded,1080000.0,selected,40000,99,0.18174222222222222,0.004491841307687512
decoded,1080000.0,selected,50000,99,0.22082515151515156,0.005522025352558875
decoded,1130000.0,neutral,5000,1000,0.00473829,2.4208833998017e-05
decoded,1130000.0,neutral,10000,1000,0.021265520000000003,0.0001389052943930159
decoded,1130000.0,neutral,20000,1000,0.07591363,0.0005780325900832049
decoded,1130000.0,neutral,30000,1000,0.13030850000000002,0.0010315566481140374
