attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
196	912201	False	lost	0.0	3.689998993650079e-05	0.5090060999500565	True
197	912211	False	lost	0.0	3.5299977753311396e-05	0.5118468999862671	True
198	912221	False	lost	0.0	3.8300000596791506e-05	0.46101899998029694	True
199	912231	False	lost	0.0	0.0002373000024817884	0.48758299998007715	True
200	912241	False	lost	0.0	5.6100019719451666e-05	0.5552645999705419	True
201	912251	False	lost	0.0	4.600000102072954e-05	0.5909773000166751	True
202	912261	False	lost	0.0	0.00033650000113993883	0.5429504999774508	True
203	912271	False	lost	0.0	5.6299963034689426e-05	0.5844935000059195	True
204	912281	False	lost	0.0	0.00023380003403872252	0.5611777000012808	True
205	912291	False	lost	0.0	4.630000330507755e-05	0.5655152999679558	True
206	912301	False	lost	0.0	0.00010230002226307988	0.5889329999918118	True
207	912311	False	lost	0.0	4.1899969801306725e-05	0.5555529000121169	True
208	912321	False	lost	0.0	5.119998240843415e-05	0.5606736000045203	True
209	912331	False	lost	0.0	4.629994509741664e-05	0.639995000034105	True
210	912341	False	lost	0.0	6.799999391660094e-05	0.6581344999722205	True
211	912351	False	lost	0.0	0.0002182999742217362	0.6513754000188783	True
212	912361	False	lost	0.0	4.469999112188816e-05	0.5910518000018783	True
213	912371	False	lost	0.0	4.770001396536827e-05	0.5533313000341877	True
214	912381	False	lost	0.0	5.0099974032491446e-05	0.564460199966561	True
215	912391	False	lost	0.0	3.489997470751405e-05	0.5553018000209704	True
216	912401	False	lost	0.0	5.099998088553548e-05	0.5741508000064641	True
217	912411	False	lost	0.0	0.00012779998360201716	0.6173911999794655	True
218	912421	False	lost	0.0	4.3199979700148106e-05	0.4754807000281289	True
219	912431	False	lost	0.0	5.670002428814769e-05	0.6083295000134967	True
220	912441	False	lost	0.0	0.00023609999334439635	0.5611053999746218	True
221	912451	False	segregating	0.09275	4.8499961849302053e-05	3.0640955999842845	True
222	912461	False	lost	0.0	4.880002234131098e-05	0.8646323999855667	True
223	912471	False	lost	0.0	0.00013920001219958067	0.5485461999778636	True
224	912481	False	lost	0.0	5.129998316988349e-05	0.5423832999658771	True
225	912491	False	lost	0.0	0.0001441999920643866	1.0638220999971963	True
226	912501	False	lost	0.0	5.23999915458262e-05	0.6109708999865688	True
227	912511	False	segregating	0.026525	4.509999416768551e-05	2.978514800022822	True
228	912521	False	lost	0.0	4.6600005589425564e-05	0.5588970999815501	True
229	912531	False	lost	0.0	3.890000516548753e-05	0.546745200001169	True
230	912541	False	lost	0.0	3.370002377778292e-05	0.997812099987641	True
231	912551	False	lost	0.0	0.00027550000231713057	0.5457277999958023	True
232	912561	False	lost	0.0	5.200004670768976e-05	0.5616145999520086	True
233	912571	False	lost	0.0	3.439997090026736e-05	0.5075288999942131	True
234	912581	False	lost	0.0	4.840001929551363e-05	0.5391930000041611	True
235	912591	False	lost	0.0	5.1499984692782164e-05	0.4866038999753073	True
236	912601	False	lost	0.0	0.00024070002837106586	0.5349699999787845	True
237	912611	False	lost	0.0	2.5100016500800848e-05	0.4600458999630064	True
238	912621	False	lost	0.0	3.950000973418355e-05	0.4970521000213921	True
239	912631	False	segregating	0.07735	3.5800039768218994e-05	2.7529568999889307	True
240	912641	False	lost	0.0	9.460002183914185e-05	0.6001985999755561	True
241	912651	False	lost	0.0	7.539999205619097e-05	0.5955513000371866	True
242	912661	False	lost	0.0	5.010003224015236e-05	0.5496244000387378	True
243	912671	False	lost	0.0	4.840001929551363e-05	0.6078470000065863	True
244	912681	False	lost	0.0	8.239998714998364e-05	0.5258520999923348	True
245	912691	False	lost	0.0	5.129998316988349e-05	0.5774962000432424	True
246	912701	False	lost	0.0	5.7299970649182796e-05	0.8279390999814495	True
247	912711	False	lost	0.0	0.00025539996568113565	0.6208994000335224	True
248	912721	False	lost	0.0	4.640000406652689e-05	0.5714341999846511	True
249	912731	False	lost	0.0	4.2899977415800095e-05	0.531945499998983	True
250	912741	False	lost	0.0	4.9200025387108326e-05	0.5645744999637827	True
251	912751	False	lost	0.0	3.589998232200742e-05	0.5525789999519475	True
252	912761	False	lost	0.0	4.5199994929134846e-05	0.5803064999636263	True
253	912771	False	lost	0.0	3.239995567128062e-05	0.5212489999830723	True
254	912781	False	lost	0.0	4.9900030717253685e-05	0.5843677999801002	True
255	912791	False	lost	0.0	5.370000144466758e-05	0.5058281000237912	True
256	912801	False	lost	0.0	4.350004019215703e-05	0.5473929999861866	True
257	912811	False	lost	0.0	3.659998765215278e-05	0.5051015000208281	True
258	912821	False	segregating	0.196225	4.919996717944741e-05	2.3635436999611557	True
259	912831	False	lost	0.0	0.0002794000320136547	0.5268552000052296	True
260	912841	False	lost	0.0	5.080003757029772e-05	0.5292553000035696	True
261	912851	False	lost	0.0	5.3099996875971556e-05	0.5439065000391565	True
262	912861	False	lost	0.0	6.0399994254112244e-05	0.5529807999846525	True
263	912871	False	lost	0.0	6.0999998822808266e-05	0.5636064999853261	True
264	912881	False	lost	0.0	4.0300015825778246e-05	0.5823943999712355	True
265	912891	False	lost	0.0	4.47999918833375e-05	0.5376043999567628	True
266	912901	False	lost	0.0	4.529999569058418e-05	0.5507709000376053	True
267	912911	False	lost	0.0	4.549999721348286e-05	0.7427234000060707	True
268	912921	False	lost	0.0	4.2899977415800095e-05	0.7303187999641523	True
269	912931	False	lost	0.0	3.8700003642588854e-05	0.5458095999783836	True
270	912941	False	lost	0.0	4.3599982745945454e-05	0.5253473000484519	True
271	912951	False	lost	0.0	4.2599975131452084e-05	0.5450375000364147	True
272	912961	False	lost	0.0	0.00048100005369633436	0.5538109999615699	True
273	912971	False	lost	0.0	3.549997927621007e-05	0.4890484000206925	True
274	912981	False	lost	0.0	4.310003714635968e-05	0.48713759996462613	True
275	912991	False	lost	0.0	3.99000127799809e-05	0.5198040999821387	True
276	913001	False	lost	0.0	4.0000013541430235e-05	0.5202041000011377	True
277	913011	False	lost	0.0	3.609998384490609e-05	0.5506648999871686	True
278	913021	False	lost	0.0	2.400000812485814e-05	0.49900219996925443	True
279	913031	False	lost	0.0	2.47000134550035e-05	0.4673486000392586	True
280	913041	False	lost	0.0	4.269997589290142e-05	0.5421401999774389	True
281	913051	False	lost	0.0	0.0004154000198468566	0.5305124000296928	True
282	913061	False	lost	0.0	5.449994932860136e-05	0.5672497999621555	True
283	913071	False	lost	0.0	4.2000028770416975e-05	0.4940070000011474	True
284	913081	False	lost	0.0	5.460000829771161e-05	0.5495554000372067	True
285	913091	False	lost	0.0	4.4700049329549074e-05	0.511887900007423	True
286	913101	False	lost	0.0	4.8900023102760315e-05	0.543171200028155	True
287	913111	False	lost	0.0	4.420004552230239e-05	0.510079899977427	True
288	913121	False	lost	0.0	4.640000406652689e-05	0.5509158000349998	True
289	913131	False	lost	0.0	0.00011550000635907054	0.5038261999725364	True
290	913141	False	lost	0.0	3.619998460635543e-05	0.508395400014706	True
291	913151	False	lost	0.0	4.2199972085654736e-05	0.528333600028418	True
292	913161	False	lost	0.0	7.069995626807213e-05	0.5346946999779902	True
293	913171	False	lost	0.0	3.300001844763756e-05	0.44508189999032766	True
294	913181	False	lost	0.0	4.600000102072954e-05	0.5218660000246018	True
295	913191	False	lost	0.0	3.679998917505145e-05	0.4736496999976225	True
296	913201	False	lost	0.0	5.460000829771161e-05	0.5237681000144221	True
297	913211	False	lost	0.0	9.359995601698756e-05	0.4996837999788113	True
298	913221	False	lost	0.0	5.1900045946240425e-05	0.5402068999828771	True
299	913231	False	lost	0.0	4.1300023440271616e-05	0.5243957999628037	True
300	913241	False	lost	0.0	4.970002919435501e-05	0.5496235999744385	True
301	913251	False	lost	0.0	4.7200010158121586e-05	0.5658338000066578	True
302	913261	False	lost	0.0	4.1599967516958714e-05	0.6809999000397511	True
303	913271	False	lost	0.0	6.10999995842576e-05	0.584893400024157	True
304	913281	False	lost	0.0	3.980001201853156e-05	0.89060150005389	True
305	913291	False	lost	0.0	3.489997470751405e-05	0.587323900021147	True
306	913301	False	lost	0.0	4.4199987314641476e-05	0.5679206000058912	True
307	913311	False	lost	0.0	4.2700034100562334e-05	0.5690049999975599	True
308	913321	False	lost	0.0	5.069997860118747e-05	0.5470023999805562	True
309	913331	False	lost	0.0	5.6999968364834785e-05	0.6169254999840632	True
310	913341	False	segregating	0.0717	4.929996794089675e-05	2.424058399978094	True
311	913351	False	lost	0.0	4.099996294826269e-05	0.6168337999843061	True
312	913361	False	lost	0.0	4.3300038669258356e-05	0.5975646000006236	True
313	913371	False	lost	0.0	4.239997360855341e-05	0.5740079000242986	True
314	913381	False	lost	0.0	3.489997470751405e-05	0.5641691999626346	True
315	913391	False	lost	0.0	3.470003139227629e-05	0.5724819999886677	True
316	913401	False	lost	0.0	3.689998993650079e-05	0.5437712999992073	True
317	913411	False	lost	0.0	5.5999960750341415e-05	0.5182012000004761	True
318	913421	False	lost	0.0	3.5299977753311396e-05	0.5470196999958716	True
319	913431	False	lost	0.0	3.9000005926936865e-05	0.5053637999808416	True
320	913441	False	lost	0.0	4.910002462565899e-05	0.5741086000343785	True
321	913451	False	lost	0.0	4.910002462565899e-05	0.570298400009051	True
322	913461	False	lost	0.0	3.5100034438073635e-05	0.5730747999623418	True
323	913471	False	lost	0.0	4.3899985030293465e-05	0.5508842000272125	True
324	913481	False	lost	0.0	4.469999112188816e-05	0.5474702999927104	True
325	913491	False	lost	0.0	5.170004442334175e-05	0.5654066000133753	True
326	913501	False	lost	0.0	5.360000068321824e-05	0.5379370999871753	True
327	913511	False	lost	0.0	4.4199987314641476e-05	0.54949189996114	True
328	913521	False	lost	0.0	4.780001472681761e-05	0.6216977000003681	True
329	913531	False	lost	0.0	0.0005291000124998391	0.5541279000462964	True
330	913541	False	lost	0.0	4.4199987314641476e-05	0.5987714000511914	True
331	913551	False	lost	0.0	4.859996261075139e-05	0.6822150999796577	True
332	913561	False	lost	0.0	4.9600028432905674e-05	0.569921099988278	True
333	913571	False	lost	0.0	4.1000021155923605e-05	0.5513017000048421	True
334	913581	False	lost	0.0	3.8700003642588854e-05	0.5583904999657534	True
335	913591	False	lost	0.0	4.509999416768551e-05	0.5293135999818332	True
336	913601	False	lost	0.0	4.229997284710407e-05	0.5467694999533705	True
337	913611	False	lost	0.0	3.749999450519681e-05	0.5486472999909893	True
338	913621	False	lost	0.0	5.339999916031957e-05	0.5782055000308901	True
339	913631	False	lost	0.0	3.23000131174922e-05	0.5662796000251547	True
340	913641	False	lost	0.0	4.610000178217888e-05	0.8119901999598369	True
341	913651	False	lost	0.0	5.1900045946240425e-05	0.5488332000095397	True
342	913661	False	lost	0.0	6.0699996538460255e-05	0.60018210002454	True
343	913671	False	lost	0.0	5.199998850002885e-05	0.5497249000472948	True
344	913681	False	lost	0.0	4.509999416768551e-05	0.5544528000173159	True
345	913691	False	lost	0.0	4.869996337220073e-05	0.5816929999855347	True
346	913701	False	lost	0.0	4.910002462565899e-05	0.5535878999507986	True
347	913711	False	segregating	0.125625	5.289999535307288e-05	2.7131201999727637	True
348	913721	False	lost	0.0	0.00010010000551119447	0.656880300026387	True
