source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_5000,0.01,3040000,-1960000,100,0,0.0,1000,5,0.005
truth,all_5000,0.01,3050000,-1950000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3060000,-1940000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3070000,-1930000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3080000,-1920000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3090000,-1910000,100,0,0.0,1000,5,0.005
truth,all_5000,0.01,3100000,-1900000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3110000,-1890000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,3120000,-1880000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,3130000,-1870000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,3140000,-1860000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3150000,-1850000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3160000,-1840000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3170000,-1830000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3180000,-1820000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3190000,-1810000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3200000,-1800000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3210000,-1790000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3220000,-1780000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3230000,-1770000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3240000,-1760000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3250000,-1750000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3260000,-1740000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3270000,-1730000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3280000,-1720000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3290000,-1710000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,3300000,-1700000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3310000,-1690000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3320000,-1680000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3330000,-1670000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3340000,-1660000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,3350000,-1650000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3360000,-1640000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,3370000,-1630000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3380000,-1620000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,3390000,-1610000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3400000,-1600000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,3410000,-1590000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3420000,-1580000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3430000,-1570000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3440000,-1560000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3450000,-1550000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3460000,-1540000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3470000,-1530000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,3480000,-1520000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3490000,-1510000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3500000,-1500000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3510000,-1490000,100,1,0.01,1000,6,0.006
truth,all_5000,0.01,3520000,-1480000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,3530000,-1470000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3540000,-1460000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3550000,-1450000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,3560000,-1440000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,3570000,-1430000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,3580000,-1420000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3590000,-1410000,100,0,0.0,1000,5,0.005
truth,all_5000,0.01,3600000,-1400000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3610000,-1390000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,3620000,-1380000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,3630000,-1370000,100,1,0.01,1000,8,0.008
