source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,mass_5000,0.05,0.008,95,94,0.9894736842105263,1000,45,0.045
truth,mass_5000,0.05,0.009,95,95,1.0,1000,45,0.045
truth,mass_5000,0.05,0.01,95,95,1.0,1000,45,0.045
truth,mass_50000,0.01,0.001,92,16,0.17391304347826086,1000,9,0.009
truth,mass_50000,0.01,0.002,93,42,0.45161290322580644,1000,9,0.009
truth,mass_50000,0.01,0.003,95,58,0.6105263157894737,1000,9,0.009
truth,mass_50000,0.01,0.004,94,75,0.7978723404255319,1000,9,0.009
truth,mass_50000,0.01,0.005,100,99,0.99,1000,9,0.009
truth,mass_50000,0.01,0.006,94,88,0.9361702127659575,1000,9,0.009
truth,mass_50000,0.01,0.007,94,92,0.9787234042553191,1000,9,0.009
truth,mass_50000,0.01,0.008,95,93,0.9789473684210527,1000,9,0.009
truth,mass_50000,0.01,0.009,95,95,1.0,1000,9,0.009
truth,mass_50000,0.01,0.01,95,95,1.0,1000,9,0.009
truth,mass_50000,0.05,0.001,92,43,0.4673913043478261,1000,50,0.05
truth,mass_50000,0.05,0.002,93,66,0.7096774193548387,1000,50,0.05
truth,mass_50000,0.05,0.003,95,75,0.7894736842105263,1000,50,0.05
truth,mass_50000,0.05,0.004,94,87,0.925531914893617,1000,50,0.05
truth,mass_50000,0.05,0.005,100,100,1.0,1000,50,0.05
truth,mass_50000,0.05,0.006,94,92,0.9787234042553191,1000,50,0.05
truth,mass_50000,0.05,0.007,94,93,0.9893617021276596,1000,50,0.05
truth,mass_50000,0.05,0.008,95,93,0.9789473684210527,1000,50,0.05
truth,mass_50000,0.05,0.009,95,95,1.0,1000,50,0.05
truth,mass_50000,0.05,0.01,95,95,1.0,1000,50,0.05
