haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,median,maximum_standardized_frac_recent,10000,0,0.7,3.9882317848219575,400,400,80,10000
400,median,maximum_standardized_frac_recent,20000,0,0.7,4.462807129128163,400,400,80,10000
400,median,maximum_standardized_frac_recent,30000,0,0.7,4.658544301092687,400,400,80,10000
400,median,maximum_standardized_frac_recent,40000,0,0.7,4.815410361868318,400,400,80,10000
400,median,maximum_standardized_frac_recent,50000,0,0.7,4.745722110668038,400,400,80,10000
400,median,maximum_frac_recent,5000,1,0.7,0.0171,400,400,80,10000
400,median,maximum_frac_recent,10000,1,0.7,0.0936,400,400,80,10000
400,median,maximum_frac_recent,20000,1,0.7,0.3175,400,400,80,10000
400,median,maximum_frac_recent,30000,1,0.7,0.507,400,400,80,10000
400,median,maximum_frac_recent,40000,1,0.7,0.6324,400,400,80,10000
400,median,maximum_frac_recent,50000,1,0.7,0.7169,400,400,80,10000
400,median,maximum_standardized_frac_recent,5000,1,0.7,3.330808729450331,400,400,80,10000
400,median,maximum_standardized_frac_recent,10000,1,0.7,4.183222198376454,400,400,80,10000
400,median,maximum_standardized_frac_recent,20000,1,0.7,4.97688799290687,400,400,80,10000
400,median,maximum_standardized_frac_recent,30000,1,0.7,4.998354236091075,400,400,80,10000
400,median,maximum_standardized_frac_recent,40000,1,0.7,4.85273607290459,400,400,80,10000
400,median,maximum_standardized_frac_recent,50000,1,0.7,4.542539189844729,400,400,80,10000
400,median,maximum_frac_recent,5000,2,0.7,0.0166,400,400,80,10000
400,median,maximum_frac_recent,10000,2,0.7,0.0868,400,400,80,10000
400,median,maximum_frac_recent,20000,2,0.7,0.3091,400,400,80,10000
400,median,maximum_frac_recent,30000,2,0.7,0.4876,400,400,80,10000
400,median,maximum_frac_recent,40000,2,0.7,0.6298,400,400,80,10000
400,median,maximum_frac_recent,50000,2,0.7,0.7135,400,400,80,10000
400,median,maximum_standardized_frac_recent,5000,2,0.7,3.1190452003696283,400,400,80,10000
400,median,maximum_standardized_frac_recent,10000,2,0.7,3.7249317350039854,400,400,80,10000
400,median,maximum_standardized_frac_recent,20000,2,0.7,4.562274722745966,400,400,80,10000
400,median,maximum_standardized_frac_recent,30000,2,0.7,4.694835161011227,400,400,80,10000
400,median,maximum_standardized_frac_recent,40000,2,0.7,4.710668162677383,400,400,80,10000
400,median,maximum_standardized_frac_recent,50000,2,0.7,4.67409299310339,400,400,80,10000
400,median,maximum_frac_recent,5000,3,0.7,0.017,400,400,80,10000
400,median,maximum_frac_recent,10000,3,0.7,0.0894,400,400,80,10000
400,median,maximum_frac_recent,20000,3,0.7,0.3091,400,400,80,10000
400,median,maximum_frac_recent,30000,3,0.7,0.4898,400,400,80,10000
400,median,maximum_frac_recent,40000,3,0.7,0.6298,400,400,80,10000
400,median,maximum_frac_recent,50000,3,0.7,0.7169,400,400,80,10000
400,median,maximum_standardized_frac_recent,5000,3,0.7,3.1870959530005436,400,400,80,10000
400,median,maximum_standardized_frac_recent,10000,3,0.7,3.8234349897612976,400,400,80,10000
400,median,maximum_standardized_frac_recent,20000,3,0.7,4.7240034044081884,400,400,80,10000
400,median,maximum_standardized_frac_recent,30000,3,0.7,4.925579873511892,400,400,80,10000
400,median,maximum_standardized_frac_recent,40000,3,0.7,4.944489793728502,400,400,80,10000
400,median,maximum_standardized_frac_recent,50000,3,0.7,4.869471577303202,400,400,80,10000
400,median,maximum_frac_recent,5000,4,0.7,0.0167,400,400,80,10000
400,median,maximum_frac_recent,10000,4,0.7,0.0893,400,400,80,10000
400,median,maximum_frac_recent,20000,4,0.7,0.3014,400,400,80,10000
400,median,maximum_frac_recent,30000,4,0.7,0.4876,400,400,80,10000
400,median,maximum_frac_recent,40000,4,0.7,0.6324,400,400,80,10000
