source,onset_years,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,n,called,region_call_rate
mean,50000,10000,0.01,50000,1,10,neutral,1000,1,0.001
mean,50000,10000,0.01,50000,1,10,selected,100,1,0.01
mean,50000,10000,0.01,50000,1,20,neutral,1000,0,0.0
mean,50000,10000,0.01,50000,1,20,selected,100,0,0.0
mean,50000,10000,0.001,10000,0,1,neutral,1000,161,0.161
mean,50000,10000,0.001,10000,0,1,selected,100,32,0.32
mean,50000,10000,0.001,10000,0,3,neutral,1000,111,0.111
mean,50000,10000,0.001,10000,0,3,selected,100,29,0.29
mean,50000,10000,0.001,10000,0,5,neutral,1000,77,0.077
mean,50000,10000,0.001,10000,0,5,selected,100,25,0.25
mean,50000,10000,0.001,10000,0,10,neutral,1000,30,0.03
mean,50000,10000,0.001,10000,0,10,selected,100,17,0.17
mean,50000,10000,0.001,10000,0,20,neutral,1000,2,0.002
mean,50000,10000,0.001,10000,0,20,selected,100,4,0.04
mean,50000,10000,0.001,10000,1,1,neutral,1000,161,0.161
mean,50000,10000,0.001,10000,1,1,selected,100,32,0.32
mean,50000,10000,0.001,10000,1,3,neutral,1000,111,0.111
mean,50000,10000,0.001,10000,1,3,selected,100,29,0.29
mean,50000,10000,0.001,10000,1,5,neutral,1000,79,0.079
mean,50000,10000,0.001,10000,1,5,selected,100,26,0.26
mean,50000,10000,0.001,10000,1,10,neutral,1000,30,0.03
mean,50000,10000,0.001,10000,1,10,selected,100,18,0.18
mean,50000,10000,0.001,10000,1,20,neutral,1000,2,0.002
mean,50000,10000,0.001,10000,1,20,selected,100,4,0.04
mean,50000,10000,0.001,20000,0,1,neutral,1000,142,0.142
mean,50000,10000,0.001,20000,0,1,selected,100,31,0.31
mean,50000,10000,0.001,20000,0,3,neutral,1000,73,0.073
mean,50000,10000,0.001,20000,0,3,selected,100,23,0.23
mean,50000,10000,0.001,20000,0,5,neutral,1000,35,0.035
mean,50000,10000,0.001,20000,0,5,selected,100,18,0.18
mean,50000,10000,0.001,20000,0,10,neutral,1000,2,0.002
mean,50000,10000,0.001,20000,0,10,selected,100,4,0.04
mean,50000,10000,0.001,20000,0,20,neutral,1000,0,0.0
mean,50000,10000,0.001,20000,0,20,selected,100,0,0.0
mean,50000,10000,0.001,20000,1,1,neutral,1000,142,0.142
mean,50000,10000,0.001,20000,1,1,selected,100,31,0.31
mean,50000,10000,0.001,20000,1,3,neutral,1000,75,0.075
mean,50000,10000,0.001,20000,1,3,selected,100,23,0.23
mean,50000,10000,0.001,20000,1,5,neutral,1000,35,0.035
mean,50000,10000,0.001,20000,1,5,selected,100,18,0.18
mean,50000,10000,0.001,20000,1,10,neutral,1000,2,0.002
mean,50000,10000,0.001,20000,1,10,selected,100,4,0.04
mean,50000,10000,0.001,20000,1,20,neutral,1000,0,0.0
mean,50000,10000,0.001,20000,1,20,selected,100,0,0.0
mean,50000,10000,0.001,50000,0,1,neutral,1000,111,0.111
mean,50000,10000,0.001,50000,0,1,selected,100,29,0.29
mean,50000,10000,0.001,50000,0,3,neutral,1000,22,0.022
mean,50000,10000,0.001,50000,0,3,selected,100,6,0.06
mean,50000,10000,0.001,50000,0,5,neutral,1000,1,0.001
mean,50000,10000,0.001,50000,0,5,selected,100,2,0.02
mean,50000,10000,0.001,50000,0,10,neutral,1000,0,0.0
mean,50000,10000,0.001,50000,0,10,selected,100,0,0.0
mean,50000,10000,0.001,50000,0,20,neutral,1000,0,0.0
mean,50000,10000,0.001,50000,0,20,selected,100,0,0.0
mean,50000,10000,0.001,50000,1,1,neutral,1000,111,0.111
mean,50000,10000,0.001,50000,1,1,selected,100,29,0.29
mean,50000,10000,0.001,50000,1,3,neutral,1000,23,0.023
mean,50000,10000,0.001,50000,1,3,selected,100,9,0.09
mean,50000,10000,0.001,50000,1,5,neutral,1000,1,0.001
mean,50000,10000,0.001,50000,1,5,selected,100,2,0.02
mean,50000,10000,0.001,50000,1,10,neutral,1000,0,0.0
mean,50000,10000,0.001,50000,1,10,selected,100,0,0.0
mean,50000,10000,0.001,50000,1,20,neutral,1000,0,0.0
mean,50000,10000,0.001,50000,1,20,selected,100,0,0.0
mean,50000,20000,0.05,10000,0,1,neutral,1000,999,0.999
mean,50000,20000,0.05,10000,0,1,selected,100,100,1.0
mean,50000,20000,0.05,10000,0,3,neutral,1000,995,0.995
mean,50000,20000,0.05,10000,0,3,selected,100,100,1.0
mean,50000,20000,0.05,10000,0,5,neutral,1000,983,0.983
mean,50000,20000,0.05,10000,0,5,selected,100,99,0.99
mean,50000,20000,0.05,10000,0,10,neutral,1000,758,0.758
mean,50000,20000,0.05,10000,0,10,selected,100,83,0.83
mean,50000,20000,0.05,10000,0,20,neutral,1000,184,0.184
mean,50000,20000,0.05,10000,0,20,selected,100,37,0.37
mean,50000,20000,0.05,10000,1,1,neutral,1000,999,0.999
mean,50000,20000,0.05,10000,1,1,selected,100,100,1.0
mean,50000,20000,0.05,10000,1,3,neutral,1000,995,0.995
mean,50000,20000,0.05,10000,1,3,selected,100,100,1.0
mean,50000,20000,0.05,10000,1,5,neutral,1000,983,0.983
mean,50000,20000,0.05,10000,1,5,selected,100,99,0.99
mean,50000,20000,0.05,10000,1,10,neutral,1000,786,0.786
mean,50000,20000,0.05,10000,1,10,selected,100,87,0.87
mean,50000,20000,0.05,10000,1,20,neutral,1000,213,0.213
mean,50000,20000,0.05,10000,1,20,selected,100,38,0.38
mean,50000,20000,0.05,20000,0,1,neutral,1000,999,0.999
mean,50000,20000,0.05,20000,0,1,selected,100,100,1.0
mean,50000,20000,0.05,20000,0,3,neutral,1000,978,0.978
mean,50000,20000,0.05,20000,0,3,selected,100,99,0.99
mean,50000,20000,0.05,20000,0,5,neutral,1000,812,0.812
mean,50000,20000,0.05,20000,0,5,selected,100,88,0.88
