task_id,mode,s,replicate,onset_years,sample_af,fixed
neutral/rep0906,neutral,0.0,906,0,0.1,False
neutral/rep0907,neutral,0.0,907,0,0.0025,False
neutral/rep0908,neutral,0.0,908,0,0.005,False
neutral/rep0909,neutral,0.0,909,0,0.115,False
neutral/rep0910,neutral,0.0,910,0,0.0025,False
neutral/rep0911,neutral,0.0,911,0,0.0025,False
neutral/rep0912,neutral,0.0,912,0,0.005,False
neutral/rep0913,neutral,0.0,913,0,0.0425,False
neutral/rep0914,neutral,0.0,914,0,0.055,False
neutral/rep0915,neutral,0.0,915,0,0.035,False
neutral/rep0916,neutral,0.0,916,0,0.7425,False
neutral/rep0917,neutral,0.0,917,0,0.0025,False
neutral/rep0918,neutral,0.0,918,0,0.0025,False
neutral/rep0919,neutral,0.0,919,0,0.005,False
neutral/rep0920,neutral,0.0,920,0,0.1725,False
neutral/rep0921,neutral,0.0,921,0,0.0025,False
neutral/rep0922,neutral,0.0,922,0,0.0025,False
neutral/rep0923,neutral,0.0,923,0,0.005,False
neutral/rep0924,neutral,0.0,924,0,0.3525,False
neutral/rep0925,neutral,0.0,925,0,0.0125,False
neutral/rep0926,neutral,0.0,926,0,0.175,False
neutral/rep0927,neutral,0.0,927,0,0.0025,False
neutral/rep0928,neutral,0.0,928,0,0.0025,False
neutral/rep0929,neutral,0.0,929,0,0.29,False
neutral/rep0930,neutral,0.0,930,0,0.9125,False
neutral/rep0931,neutral,0.0,931,0,0.0025,False
neutral/rep0932,neutral,0.0,932,0,0.4925,False
neutral/rep0933,neutral,0.0,933,0,0.555,False
neutral/rep0934,neutral,0.0,934,0,0.0025,False
neutral/rep0935,neutral,0.0,935,0,0.1175,False
neutral/rep0936,neutral,0.0,936,0,0.105,False
neutral/rep0937,neutral,0.0,937,0,0.04,False
neutral/rep0938,neutral,0.0,938,0,0.3125,False
neutral/rep0939,neutral,0.0,939,0,0.32,False
neutral/rep0940,neutral,0.0,940,0,0.795,False
neutral/rep0941,neutral,0.0,941,0,0.0025,False
neutral/rep0942,neutral,0.0,942,0,0.005,False
neutral/rep0943,neutral,0.0,943,0,0.005,False
neutral/rep0944,neutral,0.0,944,0,0.445,False
neutral/rep0945,neutral,0.0,945,0,0.1725,False
neutral/rep0946,neutral,0.0,946,0,0.0025,False
neutral/rep0947,neutral,0.0,947,0,0.0125,False
neutral/rep0948,neutral,0.0,948,0,0.0075,False
neutral/rep0949,neutral,0.0,949,0,0.0625,False
neutral/rep0950,neutral,0.0,950,0,0.005,False
neutral/rep0951,neutral,0.0,951,0,0.01,False
neutral/rep0952,neutral,0.0,952,0,0.015,False
neutral/rep0953,neutral,0.0,953,0,0.5875,False
neutral/rep0954,neutral,0.0,954,0,0.0025,False
neutral/rep0955,neutral,0.0,955,0,0.05,False
neutral/rep0956,neutral,0.0,956,0,0.075,False
neutral/rep0957,neutral,0.0,957,0,0.2775,False
neutral/rep0958,neutral,0.0,958,0,0.065,False
neutral/rep0959,neutral,0.0,959,0,0.195,False
neutral/rep0960,neutral,0.0,960,0,0.0075,False
neutral/rep0961,neutral,0.0,961,0,0.0025,False
neutral/rep0962,neutral,0.0,962,0,0.375,False
neutral/rep0963,neutral,0.0,963,0,0.0025,False
neutral/rep0964,neutral,0.0,964,0,0.0025,False
neutral/rep0965,neutral,0.0,965,0,0.005,False
neutral/rep0966,neutral,0.0,966,0,0.0025,False
neutral/rep0967,neutral,0.0,967,0,0.0025,False
neutral/rep0968,neutral,0.0,968,0,0.9075,False
neutral/rep0969,neutral,0.0,969,0,0.8025,False
neutral/rep0970,neutral,0.0,970,0,0.4375,False
neutral/rep0971,neutral,0.0,971,0,0.0025,False
neutral/rep0972,neutral,0.0,972,0,0.005,False
neutral/rep0973,neutral,0.0,973,0,0.015,False
neutral/rep0974,neutral,0.0,974,0,0.0025,False
neutral/rep0975,neutral,0.0,975,0,0.0025,False
neutral/rep0976,neutral,0.0,976,0,0.1525,False
neutral/rep0977,neutral,0.0,977,0,0.0025,False
neutral/rep0978,neutral,0.0,978,0,0.105,False
neutral/rep0979,neutral,0.0,979,0,0.265,False
neutral/rep0980,neutral,0.0,980,0,0.0025,False
neutral/rep0981,neutral,0.0,981,0,0.0125,False
neutral/rep0982,neutral,0.0,982,0,0.0025,False
neutral/rep0983,neutral,0.0,983,0,0.0025,False
neutral/rep0984,neutral,0.0,984,0,0.22,False
neutral/rep0985,neutral,0.0,985,0,0.005,False
neutral/rep0986,neutral,0.0,986,0,0.015,False
neutral/rep0987,neutral,0.0,987,0,0.6,False
neutral/rep0988,neutral,0.0,988,0,0.06,False
neutral/rep0989,neutral,0.0,989,0,0.015,False
neutral/rep0990,neutral,0.0,990,0,0.0025,False
neutral/rep0991,neutral,0.0,991,0,0.04,False
neutral/rep0992,neutral,0.0,992,0,0.0025,False
neutral/rep0993,neutral,0.0,993,0,0.03,False
neutral/rep0994,neutral,0.0,994,0,0.0025,False
neutral/rep0995,neutral,0.0,995,0,0.0025,False
neutral/rep0996,neutral,0.0,996,0,0.5275,False
neutral/rep0997,neutral,0.0,997,0,0.0025,False
neutral/rep0998,neutral,0.0,998,0,0.0025,False
neutral/rep0999,neutral,0.0,999,0,0.005,False
onset10000/rep0000,selected,0.005,0,10000,0.155,False
onset10000/rep0001,selected,0.005,1,10000,0.185,False
onset10000/rep0002,selected,0.005,2,10000,0.1825,False
onset10000/rep0003,selected,0.005,3,10000,0.1475,False
onset10000/rep0004,selected,0.005,4,10000,0.15,False
onset10000/rep0005,selected,0.005,5,10000,0.235,False
onset10000/rep0006,selected,0.005,6,10000,0.0325,False
onset10000/rep0007,selected,0.005,7,10000,0.12,False
onset10000/rep0008,selected,0.005,8,10000,0.165,False
onset10000/rep0009,selected,0.005,9,10000,0.0275,False
onset10000/rep0010,selected,0.005,10,10000,0.29,False
onset10000/rep0011,selected,0.005,11,10000,0.105,False
onset10000/rep0012,selected,0.005,12,10000,0.085,False
onset10000/rep0013,selected,0.005,13,10000,0.025,False
onset10000/rep0014,selected,0.005,14,10000,0.3475,False
onset10000/rep0015,selected,0.005,15,10000,0.2425,False
onset10000/rep0016,selected,0.005,16,10000,0.3925,False
onset10000/rep0017,selected,0.005,17,10000,0.0925,False
onset10000/rep0018,selected,0.005,18,10000,0.355,False
onset10000/rep0019,selected,0.005,19,10000,0.2525,False
onset10000/rep0020,selected,0.005,20,10000,0.0475,False
onset10000/rep0021,selected,0.005,21,10000,0.215,False
onset10000/rep0022,selected,0.005,22,10000,0.3925,False
onset10000/rep0023,selected,0.005,23,10000,0.0525,False
onset10000/rep0024,selected,0.005,24,10000,0.0525,False
onset10000/rep0025,selected,0.005,25,10000,0.2475,False
onset10000/rep0026,selected,0.005,26,10000,0.045,False
onset10000/rep0027,selected,0.005,27,10000,0.3375,False
onset10000/rep0028,selected,0.005,28,10000,0.1125,False
onset10000/rep0029,selected,0.005,29,10000,0.015,False
onset10000/rep0030,selected,0.005,30,10000,0.1125,False
onset10000/rep0031,selected,0.005,31,10000,0.5375,False
onset10000/rep0032,selected,0.005,32,10000,0.3125,False
onset10000/rep0033,selected,0.005,33,10000,0.21,False
onset10000/rep0034,selected,0.005,34,10000,0.0075,False
onset10000/rep0035,selected,0.005,35,10000,0.1725,False
onset10000/rep0036,selected,0.005,36,10000,0.1725,False
onset10000/rep0037,selected,0.005,37,10000,0.0575,False
onset10000/rep0038,selected,0.005,38,10000,0.215,False
onset10000/rep0039,selected,0.005,39,10000,0.135,False
onset10000/rep0040,selected,0.005,40,10000,0.0075,False
onset10000/rep0041,selected,0.005,41,10000,0.3075,False
onset10000/rep0042,selected,0.005,42,10000,0.535,False
onset10000/rep0043,selected,0.005,43,10000,0.3475,False
onset10000/rep0044,selected,0.005,44,10000,0.1525,False
onset10000/rep0045,selected,0.005,45,10000,0.155,False
onset10000/rep0046,selected,0.005,46,10000,0.045,False
onset10000/rep0047,selected,0.005,47,10000,0.165,False
onset10000/rep0048,selected,0.005,48,10000,0.1025,False
onset10000/rep0049,selected,0.005,49,10000,0.3075,False
onset10000/rep0050,selected,0.005,50,10000,0.4975,False
onset10000/rep0051,selected,0.005,51,10000,0.4975,False
onset10000/rep0052,selected,0.005,52,10000,0.5175,False
onset10000/rep0053,selected,0.005,53,10000,0.2975,False
onset10000/rep0054,selected,0.005,54,10000,0.1525,False
onset10000/rep0055,selected,0.005,55,10000,0.3725,False
onset10000/rep0056,selected,0.005,56,10000,0.105,False
onset10000/rep0057,selected,0.005,57,10000,0.0525,False
onset10000/rep0058,selected,0.005,58,10000,0.49,False
onset10000/rep0059,selected,0.005,59,10000,0.3,False
onset10000/rep0060,selected,0.005,60,10000,0.43,False
onset10000/rep0061,selected,0.005,61,10000,0.5425,False
onset10000/rep0062,selected,0.005,62,10000,0.245,False
onset10000/rep0063,selected,0.005,63,10000,0.2525,False
onset10000/rep0064,selected,0.005,64,10000,0.17,False
onset10000/rep0065,selected,0.005,65,10000,0.06,False
onset10000/rep0066,selected,0.005,66,10000,0.0125,False
onset10000/rep0067,selected,0.005,67,10000,0.0375,False
onset10000/rep0068,selected,0.005,68,10000,0.025,False
onset10000/rep0069,selected,0.005,69,10000,0.235,False
onset10000/rep0070,selected,0.005,70,10000,0.3675,False
onset10000/rep0071,selected,0.005,71,10000,0.0775,False
onset10000/rep0072,selected,0.005,72,10000,0.4825,False
onset10000/rep0073,selected,0.005,73,10000,0.3,False
onset10000/rep0074,selected,0.005,74,10000,0.5275,False
onset10000/rep0075,selected,0.005,75,10000,0.075,False
onset10000/rep0076,selected,0.005,76,10000,0.305,False
onset10000/rep0077,selected,0.005,77,10000,0.04,False
onset10000/rep0078,selected,0.005,78,10000,0.2175,False
onset10000/rep0079,selected,0.005,79,10000,0.31,False
onset10000/rep0080,selected,0.005,80,10000,0.195,False
onset10000/rep0081,selected,0.005,81,10000,0.2975,False
onset10000/rep0082,selected,0.005,82,10000,0.325,False
onset10000/rep0083,selected,0.005,83,10000,0.0325,False
onset10000/rep0084,selected,0.005,84,10000,0.66,False
onset10000/rep0085,selected,0.005,85,10000,0.0775,False
onset10000/rep0086,selected,0.005,86,10000,0.1225,False
onset10000/rep0087,selected,0.005,87,10000,0.035,False
onset10000/rep0088,selected,0.005,88,10000,0.335,False
onset10000/rep0089,selected,0.005,89,10000,0.2975,False
onset10000/rep0090,selected,0.005,90,10000,0.0575,False
onset10000/rep0091,selected,0.005,91,10000,0.0675,False
onset10000/rep0092,selected,0.005,92,10000,0.0975,False
onset10000/rep0093,selected,0.005,93,10000,0.5875,False
onset10000/rep0094,selected,0.005,94,10000,0.33,False
onset10000/rep0095,selected,0.005,95,10000,0.0475,False
onset10000/rep0096,selected,0.005,96,10000,0.1,False
onset10000/rep0097,selected,0.005,97,10000,0.02,False
onset10000/rep0098,selected,0.005,98,10000,0.0725,False
onset10000/rep0099,selected,0.005,99,10000,0.325,False
