position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations	selected_attempt	population_focal_allele_frequency	sample_focal_allele_frequency
4300000.0	2	hom_alt	21	13324.320626802542	2929.17453553155	8423.451704244088	21076.576016502222	8	0.102125	0.10275
4350000.0	0	hom_ref	1610	13002.337368937742	203.0225260860257	12610.15718890233	13406.714486038136	8	0.102125	0.10275
4350000.0	2	hom_alt	21	13241.017438040042	2052.8809461822016	9582.251912560167	18296.79958263982	8	0.102125	0.10275
4400000.0	0	hom_ref	1610	22901.881039000746	389.51473047416397	22150.47466924801	23678.777225154066	8	0.102125	0.10275
4400000.0	2	hom_alt	21	10971.509137122623	1902.066626933407	7642.085237459082	15751.461676445311	8	0.102125	0.10275
4450000.0	0	hom_ref	1610	10854.647900079593	120.42268381191484	10620.997483625046	11093.438372088578	8	0.102125	0.10275
4450000.0	2	hom_alt	21	11205.349546447007	1193.9598652618945	8972.158982046916	13994.38626860074	8	0.102125	0.10275
4500000.0	0	hom_ref	1610	13890.334131820524	188.17363200588704	13526.103508457061	14264.372749549313	8	0.102125	0.10275
4500000.0	2	hom_alt	21	13176.53813441203	1779.4883100971836	9941.609922077054	17464.088670594374	8	0.102125	0.10275
4505000.0	0	hom_ref	1610	45806.58270683399	1060.4033790825576	43773.17989848138	47934.443514139515	8	0.102125	0.10275
4505000.0	2	hom_alt	21	30958.90999581039	7842.346067488052	18251.653872693154	52513.27440318493	8	0.102125	0.10275
4510000.0	0	hom_ref	1610	11536.486228142165	167.21662229738504	11213.119429575143	11869.178360936849	8	0.102125	0.10275
4510000.0	2	hom_alt	21	12026.102270968571	1422.2912179649793	9396.89021527702	15390.957276128167	8	0.102125	0.10275
4515000.0	0	hom_ref	1610	11181.775809847635	164.6979070615351	10863.352656547568	11509.532481791826	8	0.102125	0.10275
4515000.0	2	hom_alt	21	11453.535333342737	1397.658143546847	8879.554443012583	14773.654745183776	8	0.102125	0.10275
4520000.0	0	hom_ref	1610	11207.99171409363	163.73737010525895	10891.388514569024	11533.798293500897	8	0.102125	0.10275
4520000.0	2	hom_alt	21	11453.535333342737	1397.658143546847	8879.554443012583	14773.654745183776	8	0.102125	0.10275
4525000.0	0	hom_ref	1610	11548.989060539932	179.05492372724282	11203.070035018703	11905.589084380686	8	0.102125	0.10275
4525000.0	2	hom_alt	21	12736.738577124344	1672.0125589903298	9685.754767065546	16748.773170844583	8	0.102125	0.10275
