attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds
1021	940987	False	lost	0.0	9.202000001096167e-06	0.523382531999971
1022	940997	False	lost	0.0	1.0265000014442194e-05	0.504772169999967
1023	941007	False	lost	0.0	1.4164000049277092e-05	0.513655104999998
1024	941017	False	lost	0.0	7.738999954653991e-06	0.5144837309999843
1025	941027	False	lost	0.0	9.473000034176948e-06	0.5142684990000248
1026	941037	False	lost	0.0	8.30999999834603e-06	0.5212910440000087
1027	941047	False	lost	0.0	1.1166999968281743e-05	0.5232156270000132
1028	941057	False	lost	0.0	1.829400002861803e-05	0.51004642099997
1029	941067	False	lost	0.0	0.00010487399998737601	0.5707060810000257
1030	941077	False	lost	0.0	1.5286999996533268e-05	0.5386711379999838
1031	941087	False	segregating	0.101925	2.4308999968525313e-05	2.903562366000017
1032	941097	False	lost	0.0	2.8047999990121752e-05	0.7878302599999643
1033	941107	False	lost	0.0	2.295500001991968e-05	0.7931754749999982
1034	941117	False	lost	0.0	1.413399996863518e-05	0.5112271689999943
1035	941127	False	lost	0.0	1.2871000024006207e-05	0.5252414509999994
1036	941137	False	lost	0.0	1.8002999979671586e-05	0.5476129790000073
1037	941147	False	lost	0.0	1.9858000030126277e-05	0.5134845979999909
1038	941157	False	lost	0.0	2.35269999961929e-05	0.5219502240000224
1039	941167	False	lost	0.0	2.427900000157024e-05	0.5222253459999706
1040	941177	False	lost	0.0	1.098899997487024e-05	0.5316354020000063
1041	941187	False	segregating	0.0293	1.701899998352019e-05	2.7024223079999956
1042	941197	False	lost	0.0	8.875999981228233e-06	0.5412464890000024
1043	941207	False	lost	0.0	1.0739000003923138e-05	0.5356928499999754
1044	941217	False	lost	0.0	8.063999985097325e-06	0.513224174999948
1045	941227	False	lost	0.0	8.374999993066012e-06	0.5410303319999912
1046	941237	False	lost	0.0	1.4104000001680106e-05	0.5538435799999775
1047	941247	False	lost	0.0	1.2040999990858836e-05	0.5684347979999984
1048	941257	False	lost	0.0	7.072000016705715e-06	0.5902049430000034
1049	941267	False	lost	0.0	1.1220000033063116e-05	0.5397151469999812
1050	941277	False	lost	0.0	1.1920000019927102e-05	0.5375135029999569
1051	941287	False	lost	0.0	2.066599995487195e-05	0.5380302970000344
1052	941297	False	lost	0.0	1.8913000019438186e-05	0.5286663859999976
1053	941307	False	lost	0.0	1.5165999968758115e-05	0.5352448680000066
1054	941317	False	lost	0.0	1.2901999980385881e-05	0.6017940890000091
1055	941327	False	lost	0.0	2.1156999991944758e-05	0.5423510260000057
1056	941337	False	lost	0.0	1.1790000030487136e-05	0.536109372999988
1057	941347	False	lost	0.0	1.8972000020767155e-05	0.5216929289999825
1058	941357	False	lost	0.0	1.4584999973976664e-05	0.5551182940000103
1059	941367	False	lost	0.0	1.7900999978337495e-05	0.5362765069999682
1060	941377	False	lost	0.0	1.3002000002870773e-05	0.5441284560000099
1061	941387	False	lost	0.0	9.657000020979467e-06	0.570051927999998
1062	941397	False	lost	0.0	9.17599999183949e-06	0.5263385150000204
1063	941407	False	lost	0.0	7.633000052464922e-06	0.4866267450000237
1064	941417	False	lost	0.0	8.535000006304472e-06	0.5436769209999852
1065	941427	False	lost	0.0	9.486999999808177e-06	0.5292894620000084
1066	941437	False	lost	0.0	1.3914000021486572e-05	0.822133311000016
1067	941447	False	lost	0.0	1.092900004096009e-05	0.8275913520000131
1068	941457	False	lost	0.0	1.1228999994727928e-05	0.5425168500000268
1069	941467	False	lost	0.0	1.6989000016565114e-05	0.5071242409999854
1070	941477	False	lost	0.0	9.636000015689206e-06	0.5145701989999907
1071	941487	False	lost	0.0	1.2030999982926005e-05	0.5409828640000001
1072	941497	False	lost	0.0	1.0838999969564611e-05	0.5151852989999952
1073	941507	False	lost	0.0	1.1369999981525325e-05	0.525283466000019
1074	941517	False	lost	0.0	7.32160000325166e-05	0.8065832560000104
1075	941527	False	lost	0.0	1.619799996888105e-05	0.5146732100000122
1076	941537	False	lost	0.0	4.9165000007178605e-05	0.5089149799999859
1077	941547	False	segregating	0.074025	2.2379000029104645e-05	2.743777582000007
1078	941557	False	lost	0.0	1.6408999954364845e-05	0.48858004400000254
1079	941567	False	lost	0.0	2.3521000002801884e-05	0.48224086300001545
1080	941577	False	lost	0.0	1.0758999962945381e-05	0.8396445679999829
1081	941587	False	lost	0.0	1.398500000959757e-05	0.8284882059999745
1082	941597	False	lost	0.0	1.1780999955135485e-05	0.5265951279999967
1083	941607	False	lost	0.0	1.84630000035213e-05	0.5258797030000437
1084	941617	False	lost	0.0	1.4074999967306212e-05	0.553861650999977
1085	941627	False	lost	0.0	1.8162999992910045e-05	1.109931237000012
1086	941637	False	lost	0.0	1.9344999998338608e-05	0.5245437570000036
1087	941647	False	segregating	0.0204	2.499500004660149e-05	3.5910553100000016
1088	941657	False	segregating	0.05615	1.9565000002330635e-05	3.580157961999987
1089	941667	False	lost	0.0	1.4866000014990277e-05	0.5146488070000146
1090	941677	False	lost	0.0	2.4843999995027843e-05	0.5295093930000121
1091	941687	False	segregating	0.06745	1.9184000052518968e-05	3.5891213390000303
