arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	5000.0	0.33	0.002681	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	7500.0	0.33	0.004046	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	10000.0	0.33	0.007332625000000001	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	15000.0	0.33	0.02339975	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	20000.0	0.33	0.045883375000000004	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	30000.0	0.33	0.10039962499999999	0.999925	8.74989062636717e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	50000.0	0.35	0.203113625	0.95739375	0.046174422819714754
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	2000.0	0.0	0.000993375	0.45258125	1.0
