position_0based	origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_statistic	auc_vs_neutral
2700000.0	introgressed	0.002	unconditional	20000.0	80	0.046374999999999986	0.504713671875
2710000.0	introgressed	0.002	unconditional	20000.0	80	0.04449999999999999	0.4799638281250004
2720000.0	introgressed	0.002	unconditional	20000.0	80	0.04212499999999999	0.450497734375
2730000.0	introgressed	0.002	unconditional	20000.0	80	0.041874999999999996	0.44447765625000024
2740000.0	introgressed	0.002	unconditional	20000.0	80	0.04174999999999998	0.43517078125000025
2750000.0	introgressed	0.002	unconditional	20000.0	80	0.04249999999999999	0.4385989843750003
2760000.0	introgressed	0.002	unconditional	20000.0	80	0.042499999999999996	0.4403285937500002
2770000.0	introgressed	0.002	unconditional	20000.0	80	0.044125	0.4678017187500001
2780000.0	introgressed	0.002	unconditional	20000.0	80	0.04662499999999999	0.48555203124999996
2790000.0	introgressed	0.002	unconditional	20000.0	80	0.047124999999999986	0.4921874218749999
2800000.0	introgressed	0.002	unconditional	20000.0	80	0.04737499999999999	0.48931375000000016
2810000.0	introgressed	0.002	unconditional	20000.0	80	0.046624999999999986	0.4811427343750001
2820000.0	introgressed	0.002	unconditional	20000.0	80	0.04724999999999999	0.4928242968750001
2830000.0	introgressed	0.002	unconditional	20000.0	80	0.04699999999999997	0.49288289062499996
2840000.0	introgressed	0.002	unconditional	20000.0	80	0.04549999999999998	0.4792174218750002
2850000.0	introgressed	0.002	unconditional	20000.0	80	0.046499999999999986	0.4996112500000002
2860000.0	introgressed	0.002	unconditional	20000.0	80	0.04674999999999998	0.49819312500000035
2870000.0	introgressed	0.002	unconditional	20000.0	80	0.04749999999999997	0.510010625
2880000.0	introgressed	0.002	unconditional	20000.0	80	0.04674999999999998	0.5005307812499998
2890000.0	introgressed	0.002	unconditional	20000.0	80	0.04549999999999998	0.4834995312499998
2900000.0	introgressed	0.002	unconditional	20000.0	80	0.04587499999999997	0.4980557031250002
2910000.0	introgressed	0.002	unconditional	20000.0	80	0.047874999999999966	0.520909453125
2920000.0	introgressed	0.002	unconditional	20000.0	80	0.04862499999999998	0.524347578125
2930000.0	introgressed	0.002	unconditional	20000.0	80	0.04837499999999996	0.520919375
2940000.0	introgressed	0.002	unconditional	20000.0	80	0.04737499999999998	0.50576828125
2950000.0	introgressed	0.002	unconditional	20000.0	80	0.048749999999999974	0.530553203125
