arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	15000.0	0.03	0.02339975	0.6895249999999999	0.4128198397520031
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	20000.0	0.06	0.045883375000000004	0.748875	0.3144210697366283
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	30000.0	0.13	0.10039962499999999	0.802075	0.22988462644216948
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	50000.0	0.23	0.203113625	0.6999	0.32223347208159897
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	3000.0	0.0	0.001476625	0.43190625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	5000.0	0.0	0.002681	0.38610625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	7500.0	0.0	0.004046	0.3381	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	15000.0	0.04	0.02339975	0.8504375000000001	0.20814739815752303
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	20000.0	0.08	0.045883375000000004	0.92381875	0.10252371845351933
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	30000.0	0.13	0.10039962499999999	0.802075	0.22988462644216948
de novo 55 kya, s=0.05	denovo_s0p05	1	1.0	50000.0	0.19	0.203113625	0.48929375	0.540505743678204
