origin	arm_id	selection_coefficient	replicate_index	sample_af	hom_carrier_diploids	genotype_class	n_pairs	threshold_years	statistic	null_mean	p_value	percentile
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	40000.0	0.07	0.15611	0.9778502768715391	0.03275
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	50000.0	0.11	0.203113625	0.946425669679129	0.06848125
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	100000.0	0.15	0.34436500000000003	0.986137673279084	0.0175125
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	10000.0	0.01	0.007332625000000001	0.5144685691428857	0.65925
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	20000.0	0.08	0.045883375000000004	0.10252371845351933	0.92381875
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	30000.0	0.09	0.10039962499999999	0.6320420994737566	0.42465625
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	40000.0	0.16	0.15611	0.451494356320546	0.5839624999999999
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	50000.0	0.18	0.203113625	0.6027674654066825	0.42836875
introgressed	eas_introgressed_s0p002	0.002	11	0.14	3	unconditional	100	100000.0	0.18	0.34436500000000003	0.9557255534305821	0.05203125
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	10000.0	0.02	0.007332625000000001	0.16704791190110124	0.8952187500000001
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	20000.0	0.05	0.045883375000000004	0.48129398382520217	0.60215
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	30000.0	0.17	0.10039962499999999	0.05667429157135536	0.95235625
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	40000.0	0.2	0.15611	0.21245984425194686	0.8083437499999999
