position_0based	arm	threshold_years	genotype_class	method	n_replicates	mean_statistic
2850000.0	neutral	1000.0	overall	truth	100	0.0004530000000000001
2860000.0	neutral	1000.0	overall	truth	100	0.0004540000000000002
2870000.0	neutral	1000.0	overall	truth	100	0.0004510000000000002
2880000.0	neutral	1000.0	overall	truth	100	0.0004510000000000002
2890000.0	neutral	1000.0	overall	truth	100	0.00045000000000000004
2900000.0	neutral	1000.0	overall	truth	100	0.00045100000000000007
2910000.0	neutral	1000.0	overall	truth	100	0.0004510000000000002
2920000.0	neutral	1000.0	overall	truth	100	0.00045100000000000023
2930000.0	neutral	1000.0	overall	truth	100	0.00044900000000000023
2940000.0	neutral	1000.0	overall	truth	100	0.0004510000000000003
2950000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
2960000.0	neutral	1000.0	overall	truth	100	0.00045100000000000023
2970000.0	neutral	1000.0	overall	truth	100	0.0004520000000000003
2980000.0	neutral	1000.0	overall	truth	100	0.0004520000000000003
2990000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
3000000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
3010000.0	neutral	1000.0	overall	truth	100	0.0004500000000000004
3020000.0	neutral	1000.0	overall	truth	100	0.0004500000000000004
3030000.0	neutral	1000.0	overall	truth	100	0.00045100000000000045
3040000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
3050000.0	neutral	1000.0	overall	truth	100	0.0004490000000000004
3060000.0	neutral	1000.0	overall	truth	100	0.0004500000000000004
3070000.0	neutral	1000.0	overall	truth	100	0.0004500000000000004
3080000.0	neutral	1000.0	overall	truth	100	0.0004550000000000005
3090000.0	neutral	1000.0	overall	truth	100	0.0004570000000000005
3100000.0	neutral	1000.0	overall	truth	100	0.00045600000000000046
3110000.0	neutral	1000.0	overall	truth	100	0.00045200000000000047
3120000.0	neutral	1000.0	overall	truth	100	0.0004510000000000005
3130000.0	neutral	1000.0	overall	truth	100	0.0004500000000000005
3140000.0	neutral	1000.0	overall	truth	100	0.00045300000000000044
3150000.0	neutral	1000.0	overall	truth	100	0.0004510000000000005
3160000.0	neutral	1000.0	overall	truth	100	0.0004510000000000005
3170000.0	neutral	1000.0	overall	truth	100	0.0004520000000000005
3180000.0	neutral	1000.0	overall	truth	100	0.00045200000000000047
3190000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
3200000.0	neutral	1000.0	overall	truth	100	0.00045200000000000036
3210000.0	neutral	1000.0	overall	truth	100	0.00045100000000000034
3220000.0	neutral	1000.0	overall	truth	100	0.0004500000000000004
3230000.0	neutral	1000.0	overall	truth	100	0.00045100000000000034
3240000.0	neutral	1000.0	overall	truth	100	0.0004510000000000003
3250000.0	neutral	1000.0	overall	truth	100	0.0004530000000000003
3260000.0	neutral	1000.0	overall	truth	100	0.0004540000000000003
3270000.0	neutral	1000.0	overall	truth	100	0.0004530000000000003
3280000.0	neutral	1000.0	overall	truth	100	0.0004550000000000002
3290000.0	neutral	1000.0	overall	truth	100	0.00045400000000000025
3300000.0	neutral	1000.0	overall	truth	100	0.00045100000000000023
3310000.0	neutral	1000.0	overall	truth	100	0.00045100000000000023
3320000.0	neutral	1000.0	overall	truth	100	0.0004530000000000002
3330000.0	neutral	1000.0	overall	truth	100	0.00045400000000000025
3340000.0	neutral	1000.0	overall	truth	100	0.0004530000000000003
3350000.0	neutral	1000.0	overall	truth	100	0.0004530000000000003
3360000.0	neutral	1000.0	overall	truth	100	0.0004510000000000003
3370000.0	neutral	1000.0	overall	truth	100	0.0004510000000000003
3380000.0	neutral	1000.0	overall	truth	100	0.0004520000000000003
3390000.0	neutral	1000.0	overall	truth	100	0.0004530000000000003
3400000.0	neutral	1000.0	overall	truth	100	0.0004510000000000002
3410000.0	neutral	1000.0	overall	truth	100	0.0004490000000000002
3420000.0	neutral	1000.0	overall	truth	100	0.00044900000000000023
3430000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
3440000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
3450000.0	neutral	1000.0	overall	truth	100	0.0004540000000000001
3460000.0	neutral	1000.0	overall	truth	100	0.0004540000000000002
3470000.0	neutral	1000.0	overall	truth	100	0.0004550000000000002
3480000.0	neutral	1000.0	overall	truth	100	0.00045900000000000026
3490000.0	neutral	1000.0	overall	truth	100	0.00045900000000000026
3500000.0	neutral	1000.0	overall	truth	100	0.0004590000000000003
3510000.0	neutral	1000.0	overall	truth	100	0.00045900000000000037
3520000.0	neutral	1000.0	overall	truth	100	0.00045900000000000037
3530000.0	neutral	1000.0	overall	truth	100	0.00046000000000000034
3540000.0	neutral	1000.0	overall	truth	100	0.00046000000000000034
3550000.0	neutral	1000.0	overall	truth	100	0.0004570000000000004
3560000.0	neutral	1000.0	overall	truth	100	0.00045400000000000036
3570000.0	neutral	1000.0	overall	truth	100	0.00045400000000000036
3580000.0	neutral	1000.0	overall	truth	100	0.0004540000000000003
3590000.0	neutral	1000.0	overall	truth	100	0.0004570000000000003
3600000.0	neutral	1000.0	overall	truth	100	0.0004500000000000003
3610000.0	neutral	1000.0	overall	truth	100	0.0004520000000000003
3620000.0	neutral	1000.0	overall	truth	100	0.0004500000000000003
3630000.0	neutral	1000.0	overall	truth	100	0.0004520000000000003
3640000.0	neutral	1000.0	overall	truth	100	0.0004530000000000003
3650000.0	neutral	1000.0	overall	truth	100	0.0004510000000000003
3660000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
3670000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
3680000.0	neutral	1000.0	overall	truth	100	0.0004520000000000002
3690000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
3700000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
3710000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
3720000.0	neutral	1000.0	overall	truth	100	0.00044700000000000024
3730000.0	neutral	1000.0	overall	truth	100	0.00044800000000000026
3740000.0	neutral	1000.0	overall	truth	100	0.00044800000000000026
3750000.0	neutral	1000.0	overall	truth	100	0.0004500000000000002
3760000.0	neutral	1000.0	overall	truth	100	0.0004500000000000002
3770000.0	neutral	1000.0	overall	truth	100	0.0004500000000000002
3780000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
3790000.0	neutral	1000.0	overall	truth	100	0.0004470000000000002
3800000.0	neutral	1000.0	overall	truth	100	0.0004500000000000001
3810000.0	neutral	1000.0	overall	truth	100	0.0004500000000000002
3820000.0	neutral	1000.0	overall	truth	100	0.0004520000000000001
3830000.0	neutral	1000.0	overall	truth	100	0.0004530000000000001
3840000.0	neutral	1000.0	overall	truth	100	0.0004530000000000002
3850000.0	neutral	1000.0	overall	truth	100	0.0004540000000000002
3860000.0	neutral	1000.0	overall	truth	100	0.00045600000000000013
3870000.0	neutral	1000.0	overall	truth	100	0.00045700000000000016
3880000.0	neutral	1000.0	overall	truth	100	0.00046200000000000017
3890000.0	neutral	1000.0	overall	truth	100	0.00046400000000000017
3900000.0	neutral	1000.0	overall	truth	100	0.0004620000000000001
3910000.0	neutral	1000.0	overall	truth	100	0.00045900000000000015
3920000.0	neutral	1000.0	overall	truth	100	0.00045900000000000026
3930000.0	neutral	1000.0	overall	truth	100	0.00045900000000000026
3940000.0	neutral	1000.0	overall	truth	100	0.0004580000000000003
3950000.0	neutral	1000.0	overall	truth	100	0.0004600000000000003
3960000.0	neutral	1000.0	overall	truth	100	0.0004580000000000003
3970000.0	neutral	1000.0	overall	truth	100	0.00045600000000000024
3980000.0	neutral	1000.0	overall	truth	100	0.0004600000000000002
3990000.0	neutral	1000.0	overall	truth	100	0.00045800000000000024
4000000.0	neutral	1000.0	overall	truth	100	0.00046100000000000015
4010000.0	neutral	1000.0	overall	truth	100	0.0004600000000000002
4020000.0	neutral	1000.0	overall	truth	100	0.0004620000000000003
4030000.0	neutral	1000.0	overall	truth	100	0.0004610000000000003
4040000.0	neutral	1000.0	overall	truth	100	0.0004600000000000003
4050000.0	neutral	1000.0	overall	truth	100	0.0004600000000000003
4060000.0	neutral	1000.0	overall	truth	100	0.00046100000000000026
4070000.0	neutral	1000.0	overall	truth	100	0.00046400000000000017
4080000.0	neutral	1000.0	overall	truth	100	0.0004600000000000001
4090000.0	neutral	1000.0	overall	truth	100	0.00045700000000000016
4100000.0	neutral	1000.0	overall	truth	100	0.0004570000000000001
4110000.0	neutral	1000.0	overall	truth	100	0.0004560000000000001
