arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_exceedance	median_p_corrected	median_p_raw
postintro_denovo	decode	overall	40000.0	100	100	0.187404	0.178043	0.567	0.0	0.0	43.0	0.43564356435643564	0.43
recent_denovo	decode	overall	40000.0	100	100	0.35192100000000004	0.178043	0.8373499999999998	0.16	0.14	5.0	0.0594059405940594	0.05
introgressed_pulse	decode_meanp	overall	40000.0	100	100	0.22511147361300002	0.23521169810130002	0.46880000000000005	0.02	0.01	54.0	0.5445544554455446	0.54
introgressed_pulse_weak	decode_meanp	overall	40000.0	100	100	0.2070186691754	0.23521169810130002	0.4187999999999999	0.0	0.0	63.0	0.6336633663366337	0.63
postintro_denovo	decode_meanp	overall	40000.0	100	100	0.22991383250600006	0.23521169810130002	0.5018	0.01	0.0	54.5	0.5495049504950495	0.545
recent_denovo	decode_meanp	overall	40000.0	100	100	0.3827962679950001	0.23521169810130002	0.7944999999999999	0.18	0.16	9.0	0.09900990099009901	0.09
introgressed_pulse	truth	carrier_carrier	40000.0	89	100	0.6671393901115606	0.16109500000000002	0.9928089887640451	0.9213483146067416	0.8426966292134831	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_noncarrier	40000.0	98	100	0.0	0.16109500000000002	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	40000.0	99	100	0.2157289212194735	0.16109500000000002	0.7119191919191918	0.13131313131313133	0.08080808080808081	21.0	0.21782178217821782	0.21
introgressed_pulse	truth	overall	40000.0	100	100	0.19009800000000002	0.16109500000000002	0.6282000000000001	0.09	0.04	33.5	0.34158415841584155	0.33499999999999996
introgressed_pulse_weak	truth	carrier_carrier	40000.0	78	100	0.7147336149884148	0.16109500000000002	0.9961538461538462	0.9743589743589743	0.9230769230769231	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	40000.0	100	100	0.0	0.16109500000000002	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	40000.0	100	100	0.20161520372956832	0.16109500000000002	0.6577	0.12	0.08	27.5	0.2821782178217822	0.275
introgressed_pulse_weak	truth	overall	40000.0	100	100	0.163246	0.16109500000000002	0.5225500000000001	0.03	0.0	43.5	0.4405940594059406	0.435
postintro_denovo	truth	carrier_carrier	40000.0	87	100	0.7334531625529104	0.16109500000000002	0.992528735632184	0.9425287356321839	0.9080459770114943	0.0	0.009900990099009901	0.0
postintro_denovo	truth	carrier_noncarrier	40000.0	99	100	0.0	0.16109500000000002	0.0	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	40000.0	100	100	0.18470762892985249	0.16109500000000002	0.6344	0.04	0.01	30.0	0.3069306930693069	0.3
postintro_denovo	truth	overall	40000.0	100	100	0.17478400000000005	0.16109500000000002	0.5390499999999999	0.06	0.01	46.5	0.47029702970297027	0.46499999999999997
recent_denovo	truth	carrier_carrier	40000.0	94	100	1.0	0.16109500000000002	1.0	1.0	1.0	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	40000.0	100	100	0.1489498128592625	0.16109500000000002	0.3825	0.1	0.05	84.5	0.8465346534653465	0.845
recent_denovo	truth	noncarrier_noncarrier	40000.0	100	100	0.16154234695185551	0.16109500000000002	0.4982	0.03	0.02	52.5	0.5297029702970297	0.525
recent_denovo	truth	overall	40000.0	100	100	0.366914	0.16109500000000002	0.8708499999999999	0.63	0.5	0.5	0.01485148514851485	0.005
introgressed_pulse	decode	overall	50000.0	100	100	0.22301300000000002	0.218271	0.5367	0.03	0.02	45.5	0.4603960396039604	0.455
introgressed_pulse_weak	decode	overall	50000.0	100	100	0.19930900000000001	0.218271	0.4857	0.0	0.0	48.0	0.48514851485148514	0.48
postintro_denovo	decode	overall	50000.0	100	100	0.22175199999999998	0.218271	0.5418999999999999	0.0	0.0	45.0	0.45544554455445546	0.45
recent_denovo	decode	overall	50000.0	100	100	0.3785870000000001	0.218271	0.80765	0.12	0.05	7.5	0.08415841584158415	0.07500000000000001
introgressed_pulse	decode_meanp	overall	50000.0	100	100	0.252074638062	0.26755692229199995	0.4515	0.02	0.01	57.0	0.5742574257425742	0.57
introgressed_pulse_weak	decode_meanp	overall	50000.0	100	100	0.23266006242700002	0.26755692229199995	0.4057	0.0	0.0	64.0	0.6435643564356436	0.64
postintro_denovo	decode_meanp	overall	50000.0	100	100	0.260330896175	0.26755692229199995	0.49250000000000005	0.0	0.0	55.0	0.5544554455445545	0.55
recent_denovo	decode_meanp	overall	50000.0	100	100	0.4055257817219999	0.26755692229199995	0.7741999999999999	0.15	0.07	10.0	0.10891089108910891	0.1
introgressed_pulse	truth	carrier_carrier	50000.0	89	100	0.8305808115618323	0.21340399999999998	0.9922471910112359	0.8876404494382022	0.7752808988764045	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_noncarrier	50000.0	98	100	0.0	0.21340399999999998	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	50000.0	99	100	0.2701719859662477	0.21340399999999998	0.6654545454545455	0.0707070707070707	0.020202020202020204	26.0	0.26732673267326734	0.26
introgressed_pulse	truth	overall	50000.0	100	100	0.24810500000000002	0.21340399999999998	0.6201000000000001	0.08	0.0	29.5	0.30198019801980197	0.295
introgressed_pulse_weak	truth	carrier_carrier	50000.0	78	100	0.8830290627820125	0.21340399999999998	0.996923076923077	0.9615384615384616	0.8461538461538461	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	50000.0	100	100	0.0	0.21340399999999998	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	50000.0	100	100	0.24661463537833772	0.21340399999999998	0.625	0.05	0.02	33.5	0.34158415841584155	0.335
introgressed_pulse_weak	truth	overall	50000.0	100	100	0.20976499999999998	0.21340399999999998	0.50295	0.01	0.0	51.0	0.5148514851485149	0.51
postintro_denovo	truth	carrier_carrier	50000.0	87	100	0.9069716305411123	0.21340399999999998	0.9979310344827587	0.9655172413793104	0.8620689655172413	0.0	0.009900990099009901	0.0
postintro_denovo	truth	carrier_noncarrier	50000.0	99	100	0.0	0.21340399999999998	0.0	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	50000.0	100	100	0.2202782996350066	0.21340399999999998	0.57745	0.0	0.0	38.0	0.38613861386138615	0.38
postintro_denovo	truth	overall	50000.0	100	100	0.22828600000000002	0.21340399999999998	0.54255	0.05	0.0	46.0	0.46534653465346537	0.46
recent_denovo	truth	carrier_carrier	50000.0	94	100	1.0	0.21340399999999998	1.0	1.0	1.0	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	50000.0	100	100	0.1866155612997606	0.21340399999999998	0.3665	0.07	0.03	86.0	0.8613861386138614	0.86
recent_denovo	truth	noncarrier_noncarrier	50000.0	100	100	0.20981317207009353	0.21340399999999998	0.4733	0.02	0.0	54.0	0.5445544554455446	0.54
recent_denovo	truth	overall	50000.0	100	100	0.399157	0.21340399999999998	0.8359499999999999	0.44	0.17	2.0	0.0297029702970297	0.02
