onset_years,source,pair_class,position_0based,mean_tmrca_years,mean_tmrca_years_n_regions,mean_tmrca_years_lower95,mean_tmrca_years_upper95,frac_recent_5000,frac_recent_5000_n_regions,frac_recent_5000_lower95,frac_recent_5000_upper95,frac_recent_10000,frac_recent_10000_n_regions,frac_recent_10000_lower95,frac_recent_10000_upper95,frac_recent_20000,frac_recent_20000_n_regions,frac_recent_20000_lower95,frac_recent_20000_upper95,frac_recent_30000,frac_recent_30000_n_regions,frac_recent_30000_lower95,frac_recent_30000_upper95,frac_recent_40000,frac_recent_40000_n_regions,frac_recent_40000_lower95,frac_recent_40000_upper95,frac_recent_50000,frac_recent_50000_n_regions,frac_recent_50000_lower95,frac_recent_50000_upper95
10000,truth,ref/ref,8570000,535400.171,100,470805.139,599995.203,0.00274266316,100,0.00257429238,0.00291103395,0.00758528982,100,0.0072822519,0.00788832773,0.0461304654,100,0.0439506428,0.048310288,0.0998709138,100,0.0948195976,0.10492223,0.156004356,100,0.146061152,0.165947559,0.196214388,100,0.185126852,0.207301924
10000,truth,ref/ref,8580000,524473.811,100,463525.283,585422.34,0.00275064839,100,0.00258597154,0.00291532523,0.00757633173,100,0.00727215199,0.00788051147,0.0459874828,100,0.043835235,0.0481397306,0.0998855251,100,0.0952184071,0.104552643,0.154054905,100,0.144541689,0.16356812,0.194162927,100,0.183645946,0.204679909
10000,truth,ref/ref,8590000,527560.787,100,460992.509,594129.064,0.00274473111,100,0.0025740123,0.00291544992,0.00756863113,100,0.00725425371,0.00788300854,0.0458195393,100,0.0436676439,0.0479714347,0.100612517,100,0.096243492,0.104981542,0.154400894,100,0.144591684,0.164210103,0.192322736,100,0.181668655,0.202976818
10000,truth,ref/ref,8600000,517741.818,100,455280.045,580203.591,0.00274941183,100,0.00257734255,0.0029214811,0.00757795888,100,0.00728017889,0.00787573887,0.0464126111,100,0.0442353425,0.0485898797,0.102816855,100,0.0980398011,0.10759391,0.159027299,100,0.14861661,0.169437988,0.198741116,100,0.187915998,0.209566233
10000,truth,ref/ref,8610000,504517.924,100,449931.686,559104.162,0.00273083294,100,0.00256014689,0.002901519,0.00751039631,100,0.00721398849,0.00780680412,0.0460033666,100,0.0438114657,0.0481952675,0.102673544,100,0.0977490468,0.107598041,0.154483808,100,0.145301963,0.163665653,0.193422015,100,0.183146565,0.203697464
10000,truth,ref/ref,8620000,525671.342,100,467074.368,584268.316,0.00272901189,100,0.00255880533,0.00289921844,0.00745656032,100,0.00715765588,0.00775546477,0.0459722444,100,0.0438655298,0.048078959,0.102809703,100,0.0977461405,0.107873266,0.155642873,100,0.146611249,0.164674498,0.19635652,100,0.185724049,0.206988991
10000,truth,ref/ref,8630000,551783.423,100,475504.761,628062.085,0.00271232849,100,0.00254849451,0.00287616247,0.00739472026,100,0.00710270323,0.00768673728,0.0458655725,100,0.043656873,0.048074272,0.102084845,100,0.0969758137,0.107193876,0.154816507,100,0.145828245,0.16380477,0.200321713,100,0.189772569,0.210870857
10000,truth,ref/ref,8640000,517743.527,100,463486.267,572000.787,0.00270425824,100,0.0025417357,0.00286678077,0.00737603769,100,0.00708506154,0.00766701384,0.0461604157,100,0.0438479267,0.0484729047,0.101055268,100,0.0963896521,0.105720884,0.153287911,100,0.144573529,0.162002293,0.200494313,100,0.189638171,0.211350455
10000,truth,ref/ref,8650000,539864.679,100,474302.847,605426.511,0.00268928962,100,0.00252866336,0.00284991588,0.00738010976,100,0.0070875461,0.00767267343,0.0457570043,100,0.0438618227,0.0476521859,0.101595119,100,0.0970510015,0.106139237,0.153645187,100,0.144855654,0.162434719,0.202612877,100,0.191510412,0.213715342
10000,truth,ref/ref,8660000,512449.58,100,446926.044,577973.116,0.00266846208,100,0.00250831684,0.00282860732,0.00734938698,100,0.00706037488,0.00763839908,0.0457614661,100,0.0438092746,0.0477136576,0.102261817,100,0.0972781379,0.107245496,0.156074503,100,0.147375481,0.164773525,0.205775046,100,0.19577991,0.215770183
10000,truth,ref/ref,8670000,492759.22,100,426965.739,558552.7,0.00267030185,100,0.00250893347,0.00283167022,0.00731065754,100,0.00701336635,0.00760794873,0.0459617992,100,0.0438538043,0.0480697941,0.103674207,100,0.0987406586,0.108607754,0.161473955,100,0.151513463,0.171434446,0.208062386,100,0.197956081,0.21816869
10000,truth,ref/ref,8680000,419229.964,100,371734.786,466725.142,0.002677946,100,0.00251846444,0.00283742756,0.00735795219,100,0.00706730515,0.00764859922,0.0458665838,100,0.0437518044,0.0479813633,0.102169451,100,0.0972103137,0.107128588,0.158443188,100,0.149651512,0.167234864,0.204344447,100,0.194816754,0.21387214
10000,truth,ref/ref,8690000,458252.099,100,404343.75,512160.449,0.00267683639,100,0.00251263299,0.00284103979,0.00738710316,100,0.00709274511,0.00768146122,0.0463652478,100,0.04415524,0.0485752556,0.102435503,100,0.0970407545,0.107830252,0.158555927,100,0.149584664,0.167527191,0.206729989,100,0.196417886,0.217042092
