source,pair_class,position_0based,n_pairs,mean_tmrca_years,count_recent_5000,frac_recent_5000,count_recent_10000,frac_recent_10000,count_recent_20000,frac_recent_20000,count_recent_30000,frac_recent_30000,count_recent_40000,frac_recent_40000,count_recent_50000,frac_recent_50000,replicate,onset_years,sample_af
decoded,ref/ref,5000000,576,216757.5832734749,3,0.0052083333333333,17,0.0295138888888888,39,0.0677083333333333,65,0.1128472222222222,103,0.1788194444444444,146,0.2534722222222222,12,50000,0.7525
decoded,alt/ref,5000000,3661,1374195.720570315,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,50000,0.7525
decoded,alt/alt,5000000,5763,60248.354265129405,34,0.0058997050147492,343,0.0595176123546763,1028,0.1783793163283012,1670,0.2897796286656255,2914,0.5056394239111573,3423,0.5939614783966684,12,50000,0.7525
decoded,all pairs,5000000,10000,550299.4166603386,37,0.0037,360,0.036,1067,0.1067,1735,0.1735,3017,0.3017,3569,0.3569,12,50000,0.7525
truth,ref/ref,5000000,576,107614.80034722222,2,0.0034722222222222,15,0.0260416666666666,43,0.0746527777777777,107,0.1857638888888889,172,0.2986111111111111,172,0.2986111111111111,12,50000,0.7525
truth,alt/ref,5000000,3661,939500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,50000,0.7525
truth,alt/alt,5000000,5763,36791.55821620684,13,0.0022557695644629,61,0.010584764879403,535,0.0928335936144369,1817,0.3152871768176297,3332,0.5781710914454278,3332,0.5781710914454278,12,50000,0.7525
truth,all pairs,5000000,10000,371352.5375,15,0.0015,76,0.0076,578,0.0578,1924,0.1924,3504,0.3504,3504,0.3504,12,50000,0.7525
decoded,ref/ref,5000000,84,207200.37985787095,5,0.0595238095238095,7,0.0833333333333333,10,0.119047619047619,11,0.1309523809523809,12,0.1428571428571428,12,0.1428571428571428,13,50000,0.91
decoded,alt/ref,5000000,1644,1096732.3935753312,0,0.0,0,0.0,0,0.0,1,0.0006082725060827,1,0.0006082725060827,1,0.0006082725060827,13,50000,0.91
decoded,alt/alt,5000000,8272,30004.049519386685,73,0.0088249516441005,725,0.0876450676982592,4010,0.4847678916827853,5745,0.6945116054158608,6938,0.8387330754352031,7449,0.9005077369439072,13,50000,0.91
decoded,all pairs,5000000,10000,206862.63845702723,78,0.0078,732,0.0732,4020,0.402,5757,0.5757,6951,0.6951,7462,0.7462,13,50000,0.91
truth,ref/ref,5000000,84,192019.34523809524,3,0.0357142857142857,5,0.0595238095238095,12,0.1428571428571428,15,0.1785714285714285,24,0.2857142857142857,31,0.369047619047619,13,50000,0.91
truth,alt/ref,5000000,1644,1016375.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,50000,0.91
truth,alt/alt,5000000,8272,34856.59453578336,23,0.0027804642166344,76,0.0091876208897485,503,0.0608075435203094,1835,0.2218326885880077,5573,0.6737185686653772,8272,1.0,13,50000,0.91
truth,all pairs,5000000,10000,197538.3875,26,0.0026,81,0.0081,515,0.0515,1850,0.185,5597,0.5597,8303,0.8303,13,50000,0.91
decoded,ref/ref,5000000,348,779712.6850389017,6,0.0172413793103448,25,0.0718390804597701,52,0.1494252873563218,60,0.1724137931034483,64,0.1839080459770115,68,0.1954022988505747,14,50000,0.8225
decoded,alt/ref,5000000,2843,1010353.7692430596,0,0.0,0,0.0,0,0.0,1,0.0003517411185367,9,0.0031656700668308,15,0.0052761167780513,14,50000,0.8225
decoded,alt/alt,5000000,6809,60542.11993023816,37,0.0054339844323689,286,0.0420032310177706,1799,0.2642091349684241,3436,0.5046262299897195,4378,0.6429725363489499,4919,0.7224262006168307,14,50000,0.8225
decoded,all pairs,5000000,10000,355600.7074956548,43,0.0043,311,0.0311,1851,0.1851,3497,0.3497,4451,0.4451,5002,0.5002,14,50000,0.8225
truth,ref/ref,5000000,348,1010101.922823558,5,0.014367816091954,10,0.028735632183908,56,0.160919540229885,86,0.2471264367816092,86,0.2471264367816092,109,0.3132183908045977,14,50000,0.8225
truth,alt/ref,5000000,2843,1444366.0340979327,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,50000,0.8225
truth,alt/alt,5000000,6809,31202.56278454986,16,0.0023498311058892,74,0.0108679688647378,454,0.0666764576296078,3064,0.4499926567777941,6809,1.0,6809,1.0,14,50000,0.8225
