attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
10322	1033997	False	lost	0.0	0.0005923999706283212	0.49638189998222515	True
10323	1034007	False	lost	0.0	0.0005314000300131738	0.5056717999977991	True
10324	1034017	False	lost	0.0	0.000500700029078871	0.5245004000025801	True
10325	1034027	False	lost	0.0	0.0007169999880716205	0.547198100015521	True
10326	1034037	False	lost	0.0	0.0005582000012509525	0.5520992999663576	True
10327	1034047	False	lost	0.0	0.000464899989310652	0.8874846000107937	True
10328	1034057	False	lost	0.0	0.0006240000366233289	0.48208429996157065	True
10329	1034067	False	lost	0.0	0.0005293000140227377	0.5389348000171594	True
10330	1034077	False	lost	0.0	0.000458099995739758	0.5287466999725439	True
10331	1034087	False	lost	0.0	0.000603899999987334	0.5410394999780692	True
10332	1034097	False	lost	0.0	3.739999374374747e-05	0.49303180002607405	True
10333	1034107	False	lost	0.0	4.409998655319214e-05	0.5203510000137612	True
10334	1034117	False	lost	0.0	4.510005237534642e-05	0.5898755000089295	True
10335	1034127	False	lost	0.0	4.4899992644786835e-05	0.517776699969545	True
10336	1034137	False	lost	0.0	4.3599982745945454e-05	0.5213589000049978	True
10337	1034147	False	lost	0.0	5.339999916031957e-05	0.5201296999584883	True
10338	1034157	False	lost	0.0	5.339999916031957e-05	0.5554732999880798	True
10339	1034167	False	lost	0.0	4.830001853406429e-05	0.5492054999922402	True
10340	1034177	False	lost	0.0	5.4800009820610285e-05	0.543251600000076	True
10341	1034187	False	lost	0.0	3.850000211969018e-05	0.5580026000388898	True
10342	1034197	False	lost	0.0	3.980001201853156e-05	0.5082577999564819	True
10343	1034207	False	lost	0.0	4.829996032640338e-05	0.4901710000121966	True
10344	1034217	False	lost	0.0	4.900002386420965e-05	0.516609399986919	True
10345	1034227	False	lost	0.0	4.0700018871575594e-05	0.49544499994954094	True
10346	1034237	False	lost	0.0	6.079999729990959e-05	0.6066159000038169	True
10347	1034247	False	lost	0.0	5.889998283237219e-05	0.5636022000107914	True
10348	1034257	False	lost	0.0	4.7900015488266945e-05	0.5057078000390902	True
10349	1034267	False	lost	0.0	3.940000897273421e-05	0.5380043999757618	True
10350	1034277	False	lost	0.0	7.609999738633633e-05	0.9031255000154488	True
10351	1034287	False	lost	0.0	5.0399976316839457e-05	0.5340818999684416	True
10352	1034297	False	lost	0.0	5.490001058205962e-05	0.5201779999770224	True
10353	1034307	False	lost	0.0	4.989997250959277e-05	0.5684124000254087	True
10354	1034317	False	lost	0.0	0.0003964999923482537	0.5034152999869548	True
10355	1034327	False	lost	0.0	5.949998740106821e-05	0.46033149998402223	True
10356	1034337	False	lost	0.0	5.690002581104636e-05	0.5169768999912776	True
10357	1034347	False	lost	0.0	2.9099988751113415e-05	0.5409417999908328	True
10358	1034357	False	lost	0.0	4.2599975131452084e-05	0.5032336000003852	True
10359	1034367	False	lost	0.0	4.830001853406429e-05	0.495195799972862	True
10360	1034377	False	lost	0.0	4.169996827840805e-05	0.5018701000371948	True
10361	1034387	False	lost	0.0	8.929998148232698e-05	0.5756239999900572	True
10362	1034397	False	lost	0.0	6.469996878877282e-05	0.5005155999679118	True
10363	1034407	False	lost	0.0	4.640000406652689e-05	0.5072936000069603	True
10364	1034417	False	lost	0.0	4.350004019215703e-05	0.4927388000069186	True
10365	1034427	False	lost	0.0	3.649998689070344e-05	0.5342792000155896	True
10366	1034437	False	lost	0.0	3.920000744983554e-05	0.5142547999857925	True
10367	1034447	False	lost	0.0	4.120002267882228e-05	0.5028055000002496	True
10368	1034457	False	lost	0.0	4.139996599406004e-05	0.539425199967809	True
10369	1034467	False	lost	0.0	3.749999450519681e-05	0.5537658000248484	True
10370	1034477	False	lost	0.0	5.659996531903744e-05	0.8456998000037856	True
10371	1034487	False	lost	0.0	4.1000021155923605e-05	0.5639698000159115	True
10372	1034497	False	lost	0.0	3.950000973418355e-05	0.49050650000572205	True
10373	1034507	False	lost	0.0	4.299997817724943e-05	0.5180999000440352	True
10374	1034517	False	segregating	0.00285	3.9700011257082224e-05	4.4908506000065245	True
10375	1034527	False	lost	0.0	4.8499961849302053e-05	0.5604386999621056	True
10376	1034537	False	lost	0.0	4.140002420172095e-05	0.5226997000281699	True
10377	1034547	False	lost	0.0	4.929996794089675e-05	0.5849893999984488	True
10378	1034557	False	lost	0.0	0.0003294000052846968	0.5012200999772176	True
10379	1034567	False	lost	0.0	4.5700056944042444e-05	0.5133903999812901	True
10380	1034577	False	lost	0.0	3.6699988413602114e-05	0.4887910000397824	True
10381	1034587	False	lost	0.0	3.0199997127056122e-05	0.5190233000321314	True
10382	1034597	False	lost	0.0	4.9600028432905674e-05	0.5202030999935232	True
10383	1034607	False	lost	0.0	3.819999983534217e-05	0.5129530999693088	True
10384	1034617	False	lost	0.0	3.660004585981369e-05	0.5696638000081293	True
10385	1034627	False	lost	0.0	3.8700003642588854e-05	0.4939322000136599	True
10386	1034637	False	lost	0.0	3.709999145939946e-05	0.5209819999872707	True
10387	1034647	False	lost	0.0	5.229999078437686e-05	0.5230624999967404	True
10388	1034657	False	lost	0.0	3.950000973418355e-05	0.551498899993021	True
10389	1034667	False	lost	0.0	5.23999915458262e-05	0.5658926999894902	True
10390	1034677	False	lost	0.0	3.579998156055808e-05	0.6178585999878123	True
