source	unit_id	simulation_class	selection_coefficient	target_allele_frequency	replicate_index	panel_n_diploid_samples	threshold_years	p_overall	p_hom_ref	p_hom_alt	p_hom_alt_minus_hom_ref	bank_role	score_scope
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	40000	0.0958211613906	0.1086404606	0.657281665169	0.548641204569	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	50000	0.103373408937	0.118287964204	0.691727796155	0.573439831951	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	1000	0.0130118300839	0.0206821096668	0.00944610452331	-0.0112360051435	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	4500	0.0307554942866	0.0469290632808	0.0829737526288	0.036044689348	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	10000	0.0416741760479	0.0602267297449	0.216680180305	0.15645345056	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	20000	0.0516799715831	0.0704629032645	0.399648577957	0.329185674692	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	30000	0.0594087377116	0.0794250840798	0.508259279109	0.428834195029	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	40000	0.0668511481812	0.0892078603636	0.577113737788	0.487905877424	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep013	neutral	0	0.2	13	100	50000	0.074100155763	0.0992681994198	0.627693606135	0.528425406715	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	1000	0.0170368857834	0.019003339072	0.168826072269	0.149822733197	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	4500	0.0481772259924	0.053224376106	0.488195634853	0.434971258747	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	10000	0.074699720732	0.0885176263873	0.631120536933	0.542602910546	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	20000	0.107275013632	0.138608325622	0.665058949683	0.526450624061	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	30000	0.129900269691	0.174390947077	0.66779910109	0.493408154013	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	40000	0.145871118113	0.19963858469	0.669960325267	0.470321740577	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep014	neutral	0	0.2	14	100	50000	0.157436562176	0.217827656137	0.673504626969	0.455676970832	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	1000	0.00439035286943	0.00668210769818	0.000939657312399	-0.00574245038578	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	4500	0.0171104905801	0.0245859140565	0.0225929288678	-0.0019929851887	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	10000	0.0315815474277	0.0422680677769	0.0821460674541	0.0398779996772	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	20000	0.0506282680568	0.0655289951856	0.160688423723	0.0951594285374	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	30000	0.065275945485	0.085852733931	0.189433368598	0.103580634667	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	40000	0.0780086775325	0.104824283324	0.197457867438	0.092633584114	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep015	neutral	0	0.2	15	100	50000	0.0897830407537	0.122787079493	0.199428781659	0.076641702166	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	1000	0.00437015196247	0.00571657702118	0.017788566723	0.0120719897018	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	4500	0.0204142903446	0.0271396360244	0.0761230822243	0.0489834461999	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	10000	0.0412077159229	0.0549329104163	0.151266331411	0.0963334209947	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	20000	0.0676921206464	0.0900515008061	0.251479003263	0.161427502457	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	30000	0.0876541150645	0.116622175287	0.325398072021	0.208775896734	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	40000	0.105300042897	0.140389136334	0.386274891074	0.24588575474	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep016	neutral	0	0.2	16	100	50000	0.121514524899	0.162358247262	0.440131166284	0.277772919022	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	1000	0.0101268966503	0.0160678453991	0.000138468297378	-0.0159293771017	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	4500	0.0172928320937	0.0273126175352	0.00286276821715	-0.024449849318	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	10000	0.0239890844072	0.0374081221882	0.0140655809557	-0.0233425412325	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	20000	0.0350951194657	0.0531782286969	0.053094512888	-8.37158089e-05	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	30000	0.0468553842919	0.0691407115895	0.109891199683	0.0407504880935	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	40000	0.0593002021826	0.0856690637126	0.177623068122	0.0919540044094	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep017	neutral	0	0.2	17	100	50000	0.0721209797099	0.102534926218	0.250799206425	0.148264280207	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	1000	0.0165582558283	0.0255211266762	0.015998200744	-0.0095229259322	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	4500	0.0594704900588	0.0906286467482	0.0791480869148	-0.0114805598334	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	10000	0.0990664599967	0.148618810499	0.181220312741	0.032601502242	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	20000	0.140055104576	0.20544971126	0.35405954938	0.14860983812	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	30000	0.16802450269	0.24288971321	0.500132778927	0.257243065717	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	40000	0.191209055661	0.274073041768	0.618101311576	0.344028269808	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep018	neutral	0	0.2	18	100	50000	0.211384976485	0.301680585269	0.710873592187	0.409193006918	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep019	neutral	0	0.2	19	100	1000	0.00469422808534	0.00732467491389	0.000160903511309	-0.00716377140258	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep019	neutral	0	0.2	19	100	4500	0.0212470033141	0.0330480916962	0.00240561571428	-0.0306424759819	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep019	neutral	0	0.2	19	100	10000	0.0272615129004	0.0419796187128	0.00986392310583	-0.032115695607	matched_af_sensitivity	focal_nearest_within_diploid
