unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	statistic	window	threshold_years	score	final_population_af	sample_alt_count	sample_af
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	10000	0.12995733128100001	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	20000	0.225568824438	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	30000	0.29634614455699998	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	40000	0.35103848002900001	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	50000	0.394972933576	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	1000	0.0006060606061	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	4500	0.0036363636360000002	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	10000	0.03474747475	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	20000	0.099393939390000005	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	30000	0.17030303029999999	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	40000	0.23999999999999999	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	focal	50000	0.2892929293	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	1000	0.0006060606061	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	4500	0.0038672438668599998	0.19533969232404283	35	0.17499999999999999
