base_specification_id	selection_coefficient	target_allele_frequency	source	metric	expected_sweep_sign	target_replicates	accepted_replicates	decoded_replicates	n_observed_replicates	mean	median	sample_sd	q25	q75	iqr	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	expected_sign_count	expected_sign_rate	expected_sign_wilson95_low	expected_sign_wilson95_high	conditioning_missingness
intro_s0p005_af90	0.005	0.9	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	4	4	4	-0.2205926657656087	-0.16963115513654498	0.3814862848552929	-0.4297858090758174	0.039561988173663784	0.4693477972494812	-0.5255691559029998	0.07894474706332752	5000	1011783813	2	0.5	0.15003898915214947	0.8499610108478506	nonrandom
intro_s0p005_af90	0.005	0.9	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	4	4	4	-3295.0042662875007	-5617.339214575	14683.496680793292	-15483.82269775	6571.4792168875	22055.3019146375	-15552.916002500002	8962.907469925	5000	1683220103	2	0.5	0.15003898915214947	0.8499610108478506	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.2393364604316334	0.2150715389811135	0.16279910894987654	0.1543787933033279	0.29025	0.1358712066966721	0.1534703825541795	0.3401117022209306	5000	1591904358	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-23149.655775747393	-20635.508617836604	10875.676127780702	-25681.44970192418	-17901.714826354146	7779.734875570033	-30559.344982320432	-17659.818033050255	5000	321769059	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.20895043118456655	0.1958119643563225	0.1555110279709879	0.110418942086105	0.23024706877685003	0.11982812669074502	0.12512536847869704	0.29993347380956037	5000	45959607	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-16532.9192026	-15895.667388999998	5508.4511933514805	-18753.209097749997	-14449.024173	4304.184924749998	-19817.689053372498	-13406.871267582499	5000	1685219451	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.1845444726862207	0.18308851224105466	0.13473900501042946	0.07103905023547881	0.23168356643356647	0.16064451619808767	0.11072910445525587	0.26686954321588774	5000	802584447	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-29458.36161372317	-30598.338689573742	12396.53797982246	-37215.38870745276	-21819.0295984725	15396.359108980258	-36506.24936086845	-22040.335745175988	5000	178604035	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.11670696713690942	0.108367210789278	0.13526953422679808	0.014835099772569983	0.23516682594226626	0.2203317261696963	0.03536100439674435	0.19582703872315682	5000	956823157	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-12367.759591600003	-15617.223846	8326.568419292269	-17162.317774500003	-13134.40303	4027.9147445000035	-16648.1006373875	-6990.562796487501	5000	1769564374	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
