base_specification_id	selection_coefficient	target_allele_frequency	source	genotype_class	threshold_years	n_observed_replicates	mean_p_tmrca_lt_threshold	median_p_tmrca_lt_threshold	sample_sd_p_tmrca_lt_threshold	q25_p_tmrca_lt_threshold	q75_p_tmrca_lt_threshold	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	conditioning_missingness
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	30000.0	10	0.094524908361	0.08571631460500001	0.04085493206152432	0.07417292754999999	0.125369264725	0.07043231085845	0.118431115361275	5000	2126968817	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	40000.0	10	0.107483540512	0.09902929657500001	0.04581149579436987	0.08455695029	0.143088292075	0.08056405583580001	0.13354301394185	5000	1431487292	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	50000.0	10	0.11774749066300001	0.1118620713	0.0502829808499607	0.0911060596175	0.15211446225	0.08783057587572501	0.14687271965905	5000	2000066981	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	1000.0	10	0.007791193203300001	0.0058697776775	0.006924612495813651	0.003916628462	0.009013462481250002	0.0045254299785175	0.012313905568602495	5000	1245410351	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	4500.0	10	0.023340382383	0.019824263350000003	0.013567887592774462	0.0164930476125	0.024567812302500002	0.016780231936725	0.03237285971154999	5000	735326809	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	10000.0	10	0.040328390017999996	0.034131596735	0.018661403062495235	0.0298945224125	0.044079956765	0.03154441914985	0.053030111340874986	5000	1610575218	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	20000.0	10	0.063197898166	0.0588348941	0.02393924904794474	0.049706896375000004	0.0685491632125	0.051813185022625	0.07909526156209996	5000	322022315	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	30000.0	10	0.080166680251	0.07699743752499999	0.026479022402304313	0.0683037069425	0.0833445305025	0.06701184258122501	0.0981201209646	5000	121324552	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	40000.0	10	0.093162538416	0.090147471845	0.028113457044270637	0.0831735499025	0.095166736125	0.07884628962302502	0.11201514124807502	5000	584947841	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	overall	50000.0	10	0.10347380159400002	0.100240051365	0.02957980689520342	0.09413547415250001	0.10700363895000001	0.08814976123479999	0.12262668048784998	5000	11805400	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	1000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1828104687	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	4500.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1400697095	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	10000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1726286422	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	20000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1907017997	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	30000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1633975736	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	40000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1846283177	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	heterozygous	50000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	662759621	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	1000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	2109438408	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	4500.0	10	0.007703081232492991	0.0	0.01679699376050981	0.0	0.0	0.0	0.019047619047619042	5000	29107260	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	10000.0	10	0.05353641456582632	0.0	0.10604362826724259	0.0	0.043067226890756274	0.00588235294117646	0.12608806022408958	5000	698231486	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	20000.0	10	0.15608543417366944	0.1125	0.15506455813590186	0.07563025210084029	0.18571428571428572	0.07489233193277309	0.25726190476190475	5000	1746026569	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	30000.0	10	0.3644824293353705	0.3431372549019608	0.17579805900677442	0.22321428571428564	0.5178571428571429	0.25908527501909856	0.46914747262541373	5000	526433698	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	40000.0	10	0.47542780748663105	0.4375	0.23087498458665914	0.33928571428571425	0.5554812834224598	0.34601655207537557	0.6160509453781512	5000	1708192520	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_alt	50000.0	10	0.662505729564553	0.6365546218487395	0.2616689154652953	0.5	0.8841991341991342	0.5134971988795518	0.8141469951617011	5000	2015983983	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	1000.0	10	0.00454545454545454	0.0	0.014373989364401707	0.0	0.0	0.0	0.013636363636363618	5000	969122639	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	4500.0	10	0.021857979703016	0.01773383553044565	0.02813430788748655	0.0	0.0301020408163265	0.007439435284471591	0.03999028749028744	5000	618312744	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	10000.0	10	0.031102752507110826	0.0336158192090395	0.025691778891710385	0.0189909297052154	0.03810541310541305	0.01732857054164558	0.04729059508781054	5000	1967765408	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	20000.0	10	0.07872055081498175	0.06723163841807905	0.05918560498405842	0.05857535321821027	0.07621082621082617	0.049606282908643634	0.11879350137128582	5000	1918783861	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	30000.0	10	0.10898162960547231	0.0819752281616688	0.06902748797896825	0.05993589743589735	0.1481481481481481	0.0701362855152201	0.1513199520750973	5000	93844253	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	40000.0	10	0.14544701248732012	0.13240740740740736	0.07669349839446256	0.10096153846153841	0.1703703703703703	0.10203465461553693	0.19276886751105166	5000	1138417147	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	hom_ref	50000.0	10	0.16274127190022356	0.1481481481481481	0.08046320993533564	0.12231638418079091	0.17660256410256403	0.117402875419326	0.21078072789241056	5000	2138192292	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	overall	1000.0	10	0.001	0.0	0.0031622776601683794	0.0	0.0	0.0	0.003	5000	1785663566	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	overall	4500.0	10	0.011	0.01	0.009944289260117532	0.0025	0.0175	0.005	0.017	5000	1553379072	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	overall	10000.0	10	0.018	0.02	0.009189365834726815	0.0125	0.02	0.012	0.023	5000	1260075724	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	overall	20000.0	10	0.051000000000000004	0.05	0.02330951164939612	0.04	0.05	0.038000000000000006	0.066	5000	1288431307	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	overall	30000.0	10	0.097	0.1	0.0424394994210713	0.0575	0.1275	0.073	0.12200000000000003	5000	1372345460	nonrandom
intro_s0p001_af20	0.001	0.2	tree_truth	overall	40000.0	10	0.133	0.11	0.05578729445153459	0.0925	0.1725	0.10300000000000001	0.16699999999999998	5000	865349477	nonrandom
