key,position_bp,decoded_all_T50000
neutral/rep0286,6700000,0.1679
neutral/rep0286,6710000,0.1706
neutral/rep0286,6720000,0.1471
neutral/rep0286,6730000,0.1529
neutral/rep0286,6740000,0.1545
neutral/rep0286,6750000,0.1437
neutral/rep0286,6760000,0.134
neutral/rep0286,6770000,0.1244
neutral/rep0286,6780000,0.1344
neutral/rep0286,6790000,0.1373
neutral/rep0286,6800000,0.1831
neutral/rep0286,6810000,0.1927
neutral/rep0286,6820000,0.2107
neutral/rep0286,6830000,0.2138
neutral/rep0286,6840000,0.2137
neutral/rep0286,6850000,0.1863
neutral/rep0286,6860000,0.1844
neutral/rep0286,6870000,0.2014
neutral/rep0286,6880000,0.2002
neutral/rep0286,6890000,0.176
neutral/rep0286,6900000,0.1887
neutral/rep0286,6910000,0.1931
neutral/rep0286,6920000,0.176
neutral/rep0286,6930000,0.1521
neutral/rep0286,6940000,0.1845
neutral/rep0286,6950000,0.2321
neutral/rep0286,6960000,0.2643
neutral/rep0286,6970000,0.2826
neutral/rep0286,6980000,0.2295
neutral/rep0286,6990000,0.2009
neutral/rep0286,7000000,0.1695
neutral/rep0286,7010000,0.1761
neutral/rep0286,7020000,0.1797
neutral/rep0286,7030000,0.1701
neutral/rep0286,7040000,0.1912
neutral/rep0286,7050000,0.1863
neutral/rep0286,7060000,0.1777
neutral/rep0286,7070000,0.1568
neutral/rep0286,7080000,0.163
neutral/rep0286,7090000,0.1711
neutral/rep0286,7100000,0.1697
neutral/rep0286,7110000,0.1755
neutral/rep0286,7120000,0.2129
neutral/rep0286,7130000,0.2243
neutral/rep0286,7140000,0.2068
neutral/rep0286,7150000,0.1874
neutral/rep0286,7160000,0.2725
neutral/rep0286,7170000,0.2814
neutral/rep0286,7180000,0.3156
neutral/rep0286,7190000,0.3652
neutral/rep0286,7200000,0.3481
neutral/rep0286,7210000,0.2493
neutral/rep0286,7220000,0.2613
neutral/rep0286,7230000,0.2715
neutral/rep0286,7240000,0.2439
neutral/rep0286,7250000,0.3629
neutral/rep0286,7260000,0.477
neutral/rep0286,7270000,0.3772
neutral/rep0286,7280000,0.364
neutral/rep0286,7290000,0.3109
neutral/rep0286,7300000,0.2632
neutral/rep0286,7310000,0.1998
neutral/rep0286,7320000,0.1786
neutral/rep0286,7330000,0.1611
neutral/rep0286,7340000,0.2923
neutral/rep0286,7350000,0.4139
neutral/rep0286,7360000,0.5214
neutral/rep0286,7370000,0.525
neutral/rep0286,7380000,0.3629
neutral/rep0286,7390000,0.3183
neutral/rep0286,7400000,0.2568
neutral/rep0286,7410000,0.2484
neutral/rep0286,7420000,0.25
neutral/rep0286,7430000,0.2533
neutral/rep0286,7440000,0.2395
neutral/rep0286,7450000,0.271
neutral/rep0286,7460000,0.2927
neutral/rep0286,7470000,0.3632
neutral/rep0286,7480000,0.3948
neutral/rep0286,7490000,0.3992
neutral/rep0286,7500000,0.3924
neutral/rep0286,7510000,0.3616
neutral/rep0286,7520000,0.3501
neutral/rep0286,7530000,0.3468
neutral/rep0286,7540000,0.2983
neutral/rep0286,7550000,0.2812
neutral/rep0286,7560000,0.3272
neutral/rep0286,7570000,0.2785
neutral/rep0286,7580000,0.1958
neutral/rep0286,7590000,0.205
neutral/rep0286,7600000,0.2544
neutral/rep0286,7610000,0.2611
neutral/rep0286,7620000,0.2781
neutral/rep0286,7630000,0.5874
neutral/rep0286,7640000,0.6607
neutral/rep0286,7650000,0.6759
neutral/rep0286,7660000,0.6715
neutral/rep0286,7670000,0.6084
neutral/rep0286,7680000,0.606
neutral/rep0286,7690000,0.4597
neutral/rep0286,7700000,0.4113
neutral/rep0286,7710000,0.2735
neutral/rep0286,7720000,0.2928
neutral/rep0286,7730000,0.2283
neutral/rep0286,7740000,0.176
neutral/rep0286,7750000,0.1258
neutral/rep0286,7760000,0.1408
neutral/rep0286,7770000,0.1511
neutral/rep0286,7780000,0.1634
neutral/rep0286,7790000,0.1669
neutral/rep0286,7800000,0.2223
