source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,130000.0,selected,10000,100,0.0300765,0.0010483377739945454
decoded,130000.0,selected,20000,100,0.10765999999999998,0.004273443609412471
decoded,130000.0,selected,30000,100,0.17496279999999995,0.006614229474169285
decoded,130000.0,selected,40000,100,0.22452059999999996,0.0078758621254175
decoded,130000.0,selected,50000,100,0.26164729999999997,0.008595323880060093
decoded,180000.0,neutral,5000,1000,0.00475761,2.4414033524449273e-05
decoded,180000.0,neutral,10000,1000,0.02128089,0.0001296095526728028
decoded,180000.0,neutral,20000,1000,0.07591843,0.0005825509354790597
decoded,180000.0,neutral,30000,1000,0.13032222999999998,0.0010443312231427013
decoded,180000.0,neutral,40000,1000,0.1766462,0.0014237571760860265
decoded,180000.0,neutral,50000,1000,0.21471621999999999,0.0017257682505963442
decoded,180000.0,selected,5000,100,0.0054392,0.00011865497729283687
decoded,180000.0,selected,10000,100,0.0276443,0.0009736182257928206
decoded,180000.0,selected,20000,100,0.09652550000000001,0.0039433526226506374
decoded,180000.0,selected,30000,100,0.15666770000000002,0.006015052999178752
decoded,180000.0,selected,40000,100,0.20154020000000003,0.007190849131494777
decoded,180000.0,selected,50000,100,0.23626660000000002,0.007903005576093034
decoded,230000.0,neutral,5000,1000,0.00474833,2.3774333429773168e-05
decoded,230000.0,neutral,10000,1000,0.02125432,0.00013099579014088443
decoded,230000.0,neutral,20000,1000,0.07565734,0.0005779088535118384
decoded,230000.0,neutral,30000,1000,0.12979706,0.0010326605610706699
decoded,230000.0,neutral,40000,1000,0.17531734,0.0014043567407106999
decoded,230000.0,neutral,50000,1000,0.21294905999999997,0.0016899389163094792
decoded,230000.0,selected,5000,100,0.005263999999999999,0.0001082855372418569
decoded,230000.0,selected,10000,100,0.025467999999999998,0.000766481664108243
decoded,230000.0,selected,20000,100,0.08788419999999998,0.002882802162248854
decoded,230000.0,selected,30000,100,0.14462450000000002,0.004596586731840631
decoded,230000.0,selected,40000,100,0.18867890000000007,0.005773330780486173
decoded,230000.0,selected,50000,100,0.22299450000000004,0.006617618072771404
decoded,280000.0,neutral,5000,1000,0.0047527,2.329513626003019e-05
decoded,280000.0,neutral,10000,1000,0.021314299999999998,0.00013129297908249458
decoded,280000.0,neutral,20000,1000,0.07569062,0.0005684244773072338
decoded,280000.0,neutral,30000,1000,0.1299112,0.001005982332953325
decoded,280000.0,neutral,40000,1000,0.17577272,0.0013625230977100512
decoded,280000.0,neutral,50000,1000,0.21383355,0.0016420724102480981
decoded,280000.0,selected,5000,100,0.005146799999999999,9.174590294433157e-05
decoded,280000.0,selected,10000,100,0.023939200000000004,0.0006447511724250172
decoded,280000.0,selected,20000,100,0.08288060000000001,0.00280036013852764
decoded,280000.0,selected,30000,100,0.13998220000000003,0.0045182427901460835
decoded,280000.0,selected,40000,100,0.185057,0.005717396457525511
decoded,280000.0,selected,50000,100,0.22195529999999997,0.006610409384555099
decoded,330000.0,neutral,5000,1000,0.0047694999999999994,2.2738214010259832e-05
decoded,330000.0,neutral,10000,1000,0.0214394,0.00013203719574824763
decoded,330000.0,neutral,20000,1000,0.07570932,0.0005758536266595332
decoded,330000.0,neutral,30000,1000,0.1299096,0.0010360108849784319
decoded,330000.0,neutral,40000,1000,0.17569952,0.0013869481831822097
decoded,330000.0,neutral,50000,1000,0.21344818000000002,0.0016621920574721575
decoded,330000.0,selected,5000,100,0.0050676,7.942369694470056e-05
decoded,330000.0,selected,10000,100,0.0229891,0.0005075974125547955
decoded,330000.0,selected,20000,100,0.0800192,0.002331479448285525
decoded,330000.0,selected,30000,100,0.13400299999999998,0.00419355386879733
decoded,330000.0,selected,40000,100,0.17809279999999997,0.005506089266595409
decoded,330000.0,selected,50000,100,0.2134708,0.0063591082671339465
decoded,380000.0,neutral,5000,1000,0.004766149999999999,2.2436512085762676e-05
decoded,380000.0,neutral,10000,1000,0.02142501,0.00013342928304339147
decoded,380000.0,neutral,20000,1000,0.07599242,0.000589400508740282
decoded,380000.0,neutral,30000,1000,0.13063130999999997,0.0010540695131358378
decoded,380000.0,neutral,40000,1000,0.17681809,0.0014246549927263792
decoded,380000.0,neutral,50000,1000,0.21516141000000003,0.001710891454733988
decoded,380000.0,selected,5000,100,0.0050089,7.600211254373862e-05
decoded,380000.0,selected,10000,100,0.0223949,0.00039806548608504257
decoded,380000.0,selected,20000,100,0.0786607,0.0018835465808742908
decoded,380000.0,selected,30000,100,0.132485,0.0034157537745693627
decoded,380000.0,selected,40000,100,0.17575389999999996,0.004657453695655139
decoded,380000.0,selected,50000,100,0.2113204,0.00566312018775958
decoded,430000.0,neutral,5000,1000,0.0047722599999999995,2.262493713096636e-05
decoded,430000.0,neutral,10000,1000,0.02130792,0.00012948683451962948
decoded,430000.0,neutral,20000,1000,0.0760224,0.0005795869073945886
decoded,430000.0,neutral,30000,1000,0.13102758,0.0010440776433143604
decoded,430000.0,neutral,40000,1000,0.17724342999999998,0.001419215004135407
decoded,430000.0,neutral,50000,1000,0.2154581,0.0017127101349020493
decoded,430000.0,selected,5000,100,0.005027500000000001,7.800976046157768e-05
decoded,430000.0,selected,10000,100,0.0224295,0.0004272142644830317
decoded,430000.0,selected,20000,100,0.0769159,0.0017679620984956581
decoded,430000.0,selected,30000,100,0.1287745,0.0030992515922103167
decoded,430000.0,selected,40000,100,0.17249209999999998,0.004125289438991469
decoded,430000.0,selected,50000,100,0.2075051,0.004941382004157349
decoded,480000.0,neutral,5000,1000,0.0047810199999999995,2.2540337762030687e-05
decoded,480000.0,neutral,10000,1000,0.02123856,0.00013218070004302393
decoded,480000.0,neutral,20000,1000,0.07559371000000001,0.0005785825957942876
decoded,480000.0,neutral,30000,1000,0.12990805999999996,0.0010453198016512097
