source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,50000,1,5,selected,all,100,0.01,0.0,0.0,0.01,0.0,0.01,0.05,1,0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,50000,1,5,selected,nonfixed,100,0.01,0.0,0.0,0.01,0.0,0.01,0.05,1,0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,50000,1,10,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,10,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,10,selected,nonfixed,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,selected,nonfixed,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,10000,0,1,neutral,all,1000,0.0,0.569,1.0,0.0,1.557,0.569,0.009,0,1557,0.0,0.0,0.569,0.0,0.0,0.569,0.0,0.0,0.569,0.0,0.0,0.569
decoded,5000,0.01,10000,0,1,selected,all,100,0.18,0.6319047619047619,0.9067357512953368,0.11169047619047619,1.75,0.72,0.11,18,175,0.12,0.19,0.6302380952380952,0.18,0.22,0.611904761904762,0.23,0.25,0.5965714285714285,0.29,0.29,0.5699047619047619
decoded,5000,0.01,10000,0,1,selected,nonfixed,100,0.18,0.6319047619047619,0.9067357512953368,0.11169047619047619,1.75,0.72,0.11,18,175,0.12,0.19,0.6302380952380952,0.18,0.22,0.611904761904762,0.23,0.25,0.5965714285714285,0.29,0.29,0.5699047619047619
decoded,5000,0.01,10000,0,3,neutral,all,1000,0.0,0.452,1.0,0.0,0.817,0.452,0.009,0,817,0.0,0.0,0.452,0.0,0.0,0.452,0.0,0.0,0.452,0.0,0.0,0.452
decoded,5000,0.01,10000,0,3,selected,all,100,0.14,0.5146666666666667,0.8715596330275229,0.115,0.95,0.62,0.11,14,95,0.06,0.16,0.5071666666666667,0.14,0.19,0.4821666666666667,0.2,0.22,0.4638333333333333,0.24,0.24,0.4488333333333333
decoded,5000,0.01,10000,0,3,selected,nonfixed,100,0.14,0.5146666666666667,0.8715596330275229,0.115,0.95,0.62,0.11,14,95,0.06,0.16,0.5071666666666667,0.14,0.19,0.4821666666666667,0.2,0.22,0.4638333333333333,0.24,0.24,0.4488333333333333
decoded,5000,0.01,10000,0,5,neutral,all,1000,0.0,0.378,1.0,0.0,0.569,0.378,0.009,0,569,0.0,0.0,0.378,0.0,0.0,0.378,0.0,0.0,0.378,0.0,0.0,0.378
decoded,5000,0.01,10000,0,5,selected,all,100,0.11,0.478,0.8658536585365854,0.09,0.71,0.56,0.11,11,71,0.06,0.13,0.46549999999999997,0.11,0.16,0.44049999999999995,0.17,0.18,0.4271666666666667,0.2,0.2,0.4071666666666667
decoded,5000,0.01,10000,0,5,selected,nonfixed,100,0.11,0.478,0.8658536585365854,0.09,0.71,0.56,0.11,11,71,0.06,0.13,0.46549999999999997,0.11,0.16,0.44049999999999995,0.17,0.18,0.4271666666666667,0.2,0.2,0.4071666666666667
decoded,5000,0.01,10000,0,10,neutral,all,1000,0.0,0.253,1.0,0.0,0.31,0.253,0.009,0,310,0.0,0.0,0.253,0.0,0.0,0.253,0.0,0.0,0.253,0.0,0.0,0.253
decoded,5000,0.01,10000,0,10,selected,all,100,0.07,0.325,0.8541666666666666,0.06,0.41,0.38,0.11,7,41,0.04,0.1,0.3,0.07,0.12,0.285,0.12,0.13,0.28,0.14,0.14,0.27
decoded,5000,0.01,10000,0,10,selected,nonfixed,100,0.07,0.325,0.8541666666666666,0.06,0.41,0.38,0.11,7,41,0.04,0.1,0.3,0.07,0.12,0.285,0.12,0.13,0.28,0.14,0.14,0.27
decoded,5000,0.01,10000,0,20,neutral,all,1000,0.0,0.107,1.0,0.0,0.117,0.107,0.009,0,117,0.0,0.0,0.107,0.0,0.0,0.107,0.0,0.0,0.107,0.0,0.0,0.107
decoded,5000,0.01,10000,0,20,selected,all,100,0.04,0.195,0.8333333333333334,0.03666666666666667,0.2,0.23,0.11,4,20,0.02,0.07,0.165,0.04,0.08,0.155,0.08,0.08,0.155,0.09,0.09,0.145
decoded,5000,0.01,10000,0,20,selected,nonfixed,100,0.04,0.195,0.8333333333333334,0.03666666666666667,0.2,0.23,0.11,4,20,0.02,0.07,0.165,0.04,0.08,0.155,0.08,0.08,0.155,0.09,0.09,0.145
decoded,5000,0.01,10000,1,1,neutral,all,1000,0.0,0.569,1.0,0.0,1.275,0.569,0.009,0,1275,0.0,0.0,0.569,0.0,0.0,0.569,0.0,0.0,0.569,0.0,0.0,0.569
decoded,5000,0.01,10000,1,1,selected,all,100,0.17,0.6216666666666666,0.8851351351351351,0.11966666666666664,1.31,0.72,0.11,17,131,0.1,0.19,0.6096666666666667,0.17,0.22,0.5913333333333333,0.23,0.25,0.5746666666666667,0.29,0.29,0.5463333333333333
decoded,5000,0.01,10000,1,1,selected,nonfixed,100,0.17,0.6216666666666666,0.8851351351351351,0.11966666666666664,1.31,0.72,0.11,17,131,0.1,0.19,0.6096666666666667,0.17,0.22,0.5913333333333333,0.23,0.25,0.5746666666666667,0.29,0.29,0.5463333333333333
decoded,5000,0.01,10000,1,3,neutral,all,1000,0.0,0.463,1.0,0.0,0.784,0.463,0.009,0,784,0.0,0.0,0.463,0.0,0.0,0.463,0.0,0.0,0.463,0.0,0.0,0.463
decoded,5000,0.01,10000,1,3,selected,all,100,0.13,0.5166666666666666,0.8712871287128713,0.11166666666666666,0.88,0.62,0.11,13,88,0.06,0.16,0.49916666666666665,0.13,0.19,0.4741666666666666,0.2,0.22,0.4558333333333333,0.24,0.24,0.4408333333333333
decoded,5000,0.01,10000,1,3,selected,nonfixed,100,0.13,0.5166666666666666,0.8712871287128713,0.11166666666666666,0.88,0.62,0.11,13,88,0.06,0.16,0.49916666666666665,0.13,0.19,0.4741666666666666,0.2,0.22,0.4558333333333333,0.24,0.24,0.4408333333333333
decoded,5000,0.01,10000,1,5,neutral,all,1000,0.0,0.395,1.0,0.0,0.581,0.395,0.009,0,581,0.0,0.0,0.395,0.0,0.0,0.395,0.0,0.0,0.395,0.0,0.0,0.395
decoded,5000,0.01,10000,1,5,selected,all,100,0.12,0.48666666666666664,0.8554216867469879,0.10166666666666666,0.71,0.58,0.11,12,71,0.06,0.15,0.4641666666666666,0.12,0.18,0.43916666666666665,0.19,0.2,0.4258333333333333,0.22,0.22,0.40583333333333327
