census_af	genotype_class	n_pairs	median_tmrca_generations	p_lt_30ky
0.8714628111952992	het	26	20810.634527496	0.0
0.8714628111952992	hom_noncarrier	1	470.0	1.0
0.6642956548631513	hom_carrier	40	940.0	1.0
0.6642956548631513	het	49	24947.031592303167	0.0
0.6642956548631513	hom_noncarrier	11	1195.0	0.36363636363636365
0.6049945879078398	hom_carrier	33	835.0	0.6060606060606061
0.6049945879078398	het	52	32943.21827310017	0.0
0.6049945879078398	hom_noncarrier	15	14370.0	0.0
0.7622158651615896	hom_carrier	59	900.0	1.0
0.7622158651615896	het	38	25972.392043076346	0.0
0.7622158651615896	hom_noncarrier	3	1490.0	0.0
0.4804778104221432	hom_carrier	18	725.0	1.0
0.4804778104221432	het	62	26267.434419610814	0.0
0.4804778104221432	hom_noncarrier	20	9557.5	0.15
0.7330678830988093	hom_carrier	59	765.0	1.0
0.7330678830988093	het	35	31019.239437686832	0.0
0.7330678830988093	hom_noncarrier	6	16095.0	0.0
0.10491727230555126	hom_carrier	1	405.0	1.0
0.10491727230555126	het	13	19630.0	0.0
0.10491727230555126	hom_noncarrier	86	1985.0	0.09302325581395349
0.9613421988557291	hom_carrier	93	1230.0	0.16129032258064516
0.9613421988557291	het	7	20079.37890973289	0.0
0.8805087366630586	hom_carrier	86	925.0	1.0
0.8805087366630586	het	14	30620.675609516067	0.0
0.5866707901654554	hom_carrier	29	880.0	0.5172413793103449
0.5866707901654554	het	54	23548.45075165189	0.0
0.5866707901654554	hom_noncarrier	17	1530.0	0.23529411764705882
0.9167697541363847	hom_carrier	79	935.0	0.6329113924050633
0.9167697541363847	het	21	19445.0	0.0
0.8556131127261482	hom_carrier	69	880.0	1.0
0.8556131127261482	het	29	37266.16347421413	0.0
0.8556131127261482	hom_noncarrier	2	742.5	0.5
0.8561156641410237	hom_carrier	76	955.0	1.0
0.8561156641410237	het	21	24419.108857306317	0.0
0.8561156641410237	hom_noncarrier	3	24419.108857306317	0.0
0.8176511520024741	hom_carrier	73	875.0	1.0
0.8176511520024741	het	24	27237.340340041184	0.0
0.8176511520024741	hom_noncarrier	3	1915.0	0.0
0.565486315138395	hom_carrier	28	655.0	1.0
0.565486315138395	het	50	32996.357058038484	0.0
0.565486315138395	hom_noncarrier	22	5737.5	0.045454545454545456
0.6412169475800217	hom_carrier	43	4720.0	0.27906976744186046
