metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,5000,100000,0.003,100,15,0.15,0.6104999999999999,0.07863492063492064,0.15,1.8,1.95,33,15,180,85,0.9230769230769231,0.1016949152542373,0.5195666666666666,0.7,0.04066388888888889,0.12400833333333328
peak,1,0.01,5000,100000,0.004,100,13,0.13,0.6262188644688645,0.059546398046398046,0.13,1.79,1.92,33,13,179,87,0.9322916666666666,0.08904109589041095,0.5347226190476191,0.7125993360805859,0.028326892551892552,0.09780311355311354
peak,1,0.01,5000,100000,0.005,100,17,0.17,0.6526269841269842,0.0806904761904762,0.17,1.82,1.99,29,17,182,83,0.914572864321608,0.11371237458193979,0.566549007936508,0.739872619047619,0.04551904761904762,0.12003154761904757
peak,1,0.01,5000,100000,0.006,100,20,0.2,0.6227380952380952,0.11116666666666668,0.2,1.68,1.88,29,20,168,80,0.8936170212765957,0.1388888888888889,0.5278017857142856,0.7060815476190476,0.06532916666666666,0.16183749999999994
peak,1,0.01,5000,100000,0.007,100,22,0.22,0.6412936507936507,0.10635714285714286,0.22,1.8,2.02,28,22,180,78,0.8910891089108911,0.1456953642384106,0.5568323412698413,0.7273132936507937,0.06566369047619047,0.15288095238095237
peak,1,0.01,5000,100000,0.008,100,25,0.25,0.5528214285714286,0.15073809523809523,0.25,1.86,2.11,32,25,186,75,0.8815165876777251,0.1607717041800643,0.46239970238095235,0.644990476190476,0.0923547619047619,0.21055515873015862
peak,1,0.01,5000,100000,0.009,100,20,0.2,0.5727261904761904,0.10855555555555556,0.2,2.06,2.26,34,20,206,80,0.911504424778761,0.12269938650306748,0.48314434523809524,0.6639961309523809,0.0637763888888889,0.16222499999999998
peak,1,0.01,5000,100000,0.01,100,23,0.23,0.6174242424242424,0.13838095238095238,0.23,1.96,2.19,27,23,196,77,0.8949771689497716,0.14420062695924765,0.5240132575757575,0.7014431818181818,0.08689999999999999,0.19859047619047607
peak,1,0.01,5000,250000,0.001,100,4,0.04,0.6002777777777778,0.014666666666666668,0.04,1.77,1.81,39,4,177,96,0.9779005524861878,0.028469750889679714,0.5044375,0.695,0.0,0.03133333333333333
peak,1,0.01,5000,250000,0.002,100,5,0.05,0.5660000000000001,0.029999999999999995,0.05,1.24,1.29,41,5,124,95,0.9612403100775194,0.043668122270742356,0.46697500000000003,0.6660249999999998,0.006666666666666666,0.06
