key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0151,1,False,,0.0,e7e2ab1ba9533c64d9b93be766333014b484a8b318eb748d34b437a1e396a9d1
neutral/rep0152,1,False,,0.0,c0eaada4b3b4fae283298463a5b43bd92d97d999f75ddb0ff28f1f05c12b25cc
neutral/rep0153,3,False,,0.0,e8bd6cb0f4a7e04bf3c5b62c842f2dd76d1d029f5f6ec41e164ae39ebf17da6b
neutral/rep0154,0,False,,0.0,172a5dcb762539bf0258be124b35ce3b51564f85f6af4c6e2819da3306f22299
neutral/rep0155,2,False,,0.0,83f0f9e9ef4237d1023810d37c5a8d25238c7bddcc0614d989efd50a79efc157
neutral/rep0156,4,False,,0.0,adbbb674067994e338d53756ed05c74026786c9971721b20491cab3d1dd911c5
neutral/rep0157,2,False,,0.0,03d7075bcbcba1661ae269135a82407dda8dc4873314322db8e26ffeea21c41d
neutral/rep0158,1,False,,0.0,97c90296a096f3159219885a2e8b62523a0f696628d9deaad0312f32b5708e56
neutral/rep0159,0,False,,0.0,045f250317a5ec89fd5a01993b0e670bbf237d6971c8c2c83033dfd9ba7e7324
neutral/rep0160,0,False,,0.0,46cc51580670bb4c33587f1375f505112710487feadee30a77b7e4f897ed3ed1
neutral/rep0161,0,False,,0.0,c321490f0939e7e32aabcca580d5c685075b033daa92eea64323b5f32e131292
neutral/rep0162,1,False,,0.0,06b829c4df930499d56908a41b539d650ff02871d13674d53b04d4a4444eb2db
neutral/rep0163,0,False,,0.0,7f17a5b18d73804206f71787d7ac935ed87655257ad12006b527fd3af6967b60
neutral/rep0164,3,False,,0.0,0811770763febca94af922a1e068f7a1b6cf91eb627adaba2a20ef83cf340919
neutral/rep0165,0,False,,0.0,0680ad62c1f2842dd0d882f86f53f7de8016a8d773e9fe69cbcb449d06151f1d
neutral/rep0166,2,False,,0.0,bc430e07003f37475d05b77310bfa2d5d6bb139d86ce4827eb99968784b2176f
neutral/rep0167,4,False,,0.0,6920d455f10a3cb8b53788a8c6021b9834170454ace41459e9e044ae735c7c9d
neutral/rep0168,3,False,,0.0,e1e9c879f8581f87580f3c9f0cdd0eaf03b02f84313b8f9fd79f11dd981c6f75
neutral/rep0169,0,False,,0.0,43e80666a9f8e0c9ddc784eaf32dd98347cb19c0a6d6639850570ec8d3dcae4c
neutral/rep0170,4,False,,0.0,7583bec3cfbd2c13a6e7330738762226bb23f345f7941819d94d2ed391409fc9
