key,maximum_af
neutral/rep0776,0.3825
neutral/rep0777,0.39
neutral/rep0778,0.2575
neutral/rep0779,0.165
neutral/rep0780,0.155
neutral/rep0781,0.12
neutral/rep0782,0.055
neutral/rep0783,0.015
neutral/rep0784,0.1475
neutral/rep0785,0.4075
neutral/rep0786,0.14
neutral/rep0787,0.165
neutral/rep0788,0.3525
neutral/rep0789,0.2325
neutral/rep0790,0.425
neutral/rep0791,0.485
neutral/rep0792,0.3125
neutral/rep0793,0.455
neutral/rep0794,0.455
neutral/rep0795,0.385
neutral/rep0796,0.2825
neutral/rep0797,0.59
neutral/rep0798,0.41
neutral/rep0799,0.2725
neutral/rep0800,0.265
neutral/rep0801,0.6275
neutral/rep0802,0.5825
neutral/rep0803,0.2775
neutral/rep0804,0.23
neutral/rep0805,0.605
neutral/rep0806,0.57
neutral/rep0807,0.1875
neutral/rep0808,0.42
neutral/rep0809,0.4825
neutral/rep0810,0.31
neutral/rep0811,0.4325
neutral/rep0812,0.5275
neutral/rep0813,0.19
neutral/rep0814,0.5675
neutral/rep0815,0.44
neutral/rep0816,0.18
neutral/rep0817,0.1525
neutral/rep0818,0.63
neutral/rep0819,0.315
neutral/rep0820,0.1875
neutral/rep0821,0.3625
neutral/rep0822,0.3625
neutral/rep0823,0.3925
neutral/rep0824,0.6
neutral/rep0825,0.3875
neutral/rep0826,0.55
neutral/rep0827,0.15
neutral/rep0828,0.425
neutral/rep0829,0.1875
neutral/rep0830,0.3625
neutral/rep0831,0.3825
neutral/rep0832,0.3675
neutral/rep0833,0.5075
neutral/rep0834,0.5875
neutral/rep0835,0.1225
neutral/rep0836,0.4625
neutral/rep0837,0.585
neutral/rep0838,0.5675
neutral/rep0839,0.6175
neutral/rep0840,0.3525
neutral/rep0841,0.82
neutral/rep0842,0.495
neutral/rep0843,0.54
neutral/rep0844,0.5375
neutral/rep0845,0.41
neutral/rep0846,0.435
neutral/rep0847,0.45
neutral/rep0848,0.3575
neutral/rep0849,0.3
neutral/rep0850,0.6525
neutral/rep0851,0.65
neutral/rep0852,0.2775
neutral/rep0853,0.7625
neutral/rep0854,0.3025
neutral/rep0855,0.23
neutral/rep0856,0.49
neutral/rep0857,0.0
neutral/rep0858,0.3125
neutral/rep0859,0.3575
neutral/rep0860,0.6475
neutral/rep0861,0.2525
neutral/rep0862,0.37
neutral/rep0863,0.4425
neutral/rep0864,0.405
neutral/rep0865,0.5375
neutral/rep0866,0.3125
neutral/rep0867,0.6275
neutral/rep0868,0.3925
neutral/rep0869,0.485
neutral/rep0870,0.46
neutral/rep0871,0.5025
neutral/rep0872,0.3875
neutral/rep0873,0.485
neutral/rep0874,0.055
neutral/rep0875,0.37
neutral/rep0876,0.4275
neutral/rep0877,0.3775
neutral/rep0878,0.445
neutral/rep0879,0.3175
neutral/rep0880,0.88
neutral/rep0881,0.34
neutral/rep0882,0.4925
neutral/rep0883,0.5125
neutral/rep0884,0.295
neutral/rep0885,0.3075
neutral/rep0886,0.3975
neutral/rep0887,0.335
neutral/rep0888,0.23
neutral/rep0889,0.65
neutral/rep0890,0.3675
