selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper
0.01	39	0.0	lost	11.972572800004857	3.0209560000221245	0.005	27340.756981460803	0.0049999999999999	0.0049801980198019	0.0092396694214876	20610.14281486988	0.9702970297029704	0.9702970297029704	0.9603960396039604
0.01	40	0.0	lost	11.849721700011289	2.659857200051192	0.0085	10716.34671405973	0.0084545454545454	0.0083415841584158	0.0086611570247933	18638.172798862837	0.6435643564356436	0.6336633663366337	0.6435643564356436
0.01	41	0.0	lost	12.961086599971168	2.503958799992688	0.011	27974.53908505641	0.0109999999999999	0.010569306930693	0.0083760330578512	21028.77797964475	0.2574257425742574	0.2574257425742574	0.297029702970297
0.01	42	0.0	lost	13.819118199986406	3.183011600049213	0.0115	11973.82880338621	0.0115	0.0112178217821782	0.0082190082644628	20759.653914934395	0.198019801980198	0.198019801980198	0.2079207920792079
0.01	43	0.0	lost	13.3123770999955	2.681589400046505	0.0085	14071.218051173091	0.0085	0.0082178217821782	0.0082727272727272	19334.911905077355	0.6435643564356436	0.6336633663366337	0.6534653465346535
0.01	44	0.0	lost	13.29664319998119	3.353060299996286	0.01	15967.246706186885	0.0100454545454545	0.0109851485148514	0.008293388429752	21723.70978685045	0.4356435643564356	0.3762376237623762	0.2475247524752475
0.01	45	0.0	lost	14.11625369999092	2.74237130000256	0.0085	13422.07823453282	0.0085	0.0087475247524752	0.0103305785123966	19679.61090603457	0.6435643564356436	0.6336633663366337	0.6039603960396039
0.01	46	0.0	lost	12.57494639995275	2.834494599956088	0.009	20569.32851810214	0.0092272727272727	0.0096534653465346	0.0083016528925619	20423.54293247313	0.5841584158415841	0.5247524752475248	0.4455445544554455
0.01	47	0.0	lost	7.608932300005108	2.6270936999935657	0.0075	24981.87810759655	0.0075	0.0071782178217821	0.0094049586776859	20456.581209833334	0.7920792079207921	0.7920792079207921	0.7920792079207921
0.01	48	0.0	lost	12.490256999968553	2.143882100004703	0.0105	20652.242389061703	0.0104999999999999	0.0101386138613861	0.0084545454545454	19845.06915245288	0.3663366336633663	0.3465346534653465	0.3762376237623762
0.01	49	0.0	lost	12.954737499996554	2.2897862000390887	0.0115	11477.6365920274	0.0113181818181818	0.0109455445544554	0.0104752066115702	19936.58339230359	0.198019801980198	0.2079207920792079	0.2475247524752475
0.01	50	0.0	lost	15.487164599995594	2.7818602999905124	0.009	27492.442007512585	0.0092272727272727	0.0086782178217821	0.0067561983471074	20422.20850150669	0.5841584158415841	0.5247524752475248	0.6138613861386139
0.01	51	0.0	lost	15.446310900035314	2.7515707000275142	0.0125	17794.382066966184	0.0123636363636363	0.0124653465346534	0.0082644628099173	20523.00311523514	0.0693069306930693	0.0594059405940594	0.0396039603960396
0.01	52	0.0	lost	14.951863700000104	2.811456699972041	0.011	10563.798399569543	0.0109999999999999	0.0114950495049504	0.0087644628099173	20910.24441777609	0.2574257425742574	0.2574257425742574	0.1881188118811881
0.01	53	0.0	lost	15.017533899983391	3.2172311999602243	0.007	15497.400742616035	0.0068636363636363	0.0068960396039603	0.0082190082644628	20470.09762822196	0.8613861386138614	0.8415841584158416	0.8514851485148515
0.01	54	0.0	lost	15.146174099994823	2.692628999997396	0.012	19740.05651344005	0.0121818181818181	0.0120049504950495	0.0084834710743801	20808.08981433952	0.1386138613861386	0.0693069306930693	0.099009900990099
0.01	55	0.0	lost	14.326127999986056	2.9312925999984145	0.007	22452.8137690782	0.0072272727272727	0.0072376237623762	0.007896694214876	20141.784776709228	0.8613861386138614	0.7920792079207921	0.7920792079207921
0.01	56	0.0	lost	11.081750700017436	2.1868295000167564	0.0095	15830.64317015413	0.0096818181818181	0.0099950495049504	0.0067727272727272	19832.188791684017	0.5247524752475248	0.4356435643564356	0.3861386138613861
0.01	57	0.0	lost	10.605206200038085	2.2232707999646664	0.0075	19428.880562394068	0.0075	0.0076782178217821	0.0088512396694214	19373.39511853329	0.7920792079207921	0.7920792079207921	0.7425742574257426
0.01	58	0.0	lost	15.771892999997362	2.7921662000007927	0.011	11696.323916408135	0.0109999999999999	0.0109059405940594	0.0103099173553719	19749.7938187274	0.2574257425742574	0.2574257425742574	0.2475247524752475
0.01	59	0.0	lost	11.682722199999262	2.931577000010293	0.012	14913.036859586324	0.0119090909090909	0.0122079207920792	0.0073760330578512	20596.936118090834	0.1386138613861386	0.1485148514851485	0.0693069306930693
0.01	60	0.0	lost	15.631172099965625	2.7454730000463314	0.01	17328.93904681343	0.0097727272727272	0.0098910891089108	0.0104876033057851	21923.546834306533	0.4356435643564356	0.4257425742574257	0.396039603960396
0.01	61	0.0	lost	15.808718000014778	2.6504028999479488	0.011	27122.642958429074	0.0109999999999999	0.0107128712871287	0.0092851239669421	20578.4224772172	0.2574257425742574	0.2574257425742574	0.2871287128712871
0.01	62	0.0	lost	15.295611899986396	2.7285538999713026	0.011	11838.585850635603	0.0109999999999999	0.0107574257425742	0.0078429752066115	19870.43360243024	0.2574257425742574	0.2574257425742574	0.2673267326732673
0.01	63	0.0	lost	15.325623299984729	3.0919669999857438	0.013	11826.621944642997	0.013	0.0131336633663366	0.0096611570247933	18960.38813283729	0.0594059405940594	0.0396039603960396	0.0297029702970297
0.01	64	0.0	lost	10.826042200031225	2.650666200031992	0.0115	9007.37592540155	0.011590909090909	0.0104752475247524	0.0082107438016528	18276.248585671758	0.198019801980198	0.1683168316831683	0.297029702970297
0.01	65	0.0	lost	13.679107000003569	2.3503504999680445	0.012	10847.80306613837	0.0118181818181818	0.0119306930693069	0.0085206611570247	20036.165224104203	0.1386138613861386	0.1485148514851485	0.1089108910891089
0.01	66	0.0	lost	11.706437399960125	2.193948299973272	0.0075	23078.283144337693	0.0077272727272727	0.0079554455445544	0.0092603305785123	20364.20752442789	0.7920792079207921	0.7227722772277227	0.6732673267326733
0.01	67	0.0	lost	11.21150239999406	2.875261800014414	0.0075	16842.45196089565	0.0075	0.0072574257425742	0.0101487603305785	18872.08287197701	0.7920792079207921	0.7920792079207921	0.7821782178217822
