demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	n_neutral	n_folds	fold_sizes	minimum_training_null	maximum_training_null	mean_crossfit_p	fraction_crossfit_p_le_0_05	ks_uniform_p	calibration_note
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_ref	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.988596581084	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_ref	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.990300765082	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_ref	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.901478784528	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_ref	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.994922803771	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_ref	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.990300765082	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_ref	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.982692873816	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.863198126755	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.977355718547	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.9635827884	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.984558836699	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.989975829288	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.994922803771	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_overall	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.971003753121	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999202749935	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	normalized_cdf_area	cdf_area_heterozygous	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.995842356889	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	normalized_cdf_area	cdf_area_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999617854621	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.980675630313	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	normalized_cdf_area	cdf_area_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.984558836699	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	normalized_cdf_area	cdf_area_overall	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.999155860919	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	p_tmrca_lt_threshold	p_heterozygous	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.991229449124	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	p_tmrca_lt_threshold	p_heterozygous	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.07	0.996628283881	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	p_tmrca_lt_threshold	p_heterozygous	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.993140351054	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	p_tmrca_lt_threshold	p_heterozygous	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.993140351054	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	p_tmrca_lt_threshold	p_heterozygous	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999001532169	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	region_mean	p_tmrca_lt_threshold	p_heterozygous	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.977934061323	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
