genotype_class	method	threshold_years	af_bin	af_low	af_mid	n_replicates	mean_statistic	null_mean	auc	power_rule
carrier_noncarrier	truth	40000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.032528023336858385	0.15520733333333334	0.08711656441717792	0.024539877300613498
carrier_noncarrier	truth	40000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.043744411650958354	0.15520733333333334	0.11989247311827958	0.01935483870967742
carrier_noncarrier	truth	50000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.16547513888000887	0.20062233333333335	0.341304347826087	0.07608695652173914
carrier_noncarrier	truth	50000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.02063384235728627	0.20062233333333335	0.0369281045751634	0.0
carrier_noncarrier	truth	50000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.006556542855466526	0.20062233333333335	0.016425702811244978	0.0
carrier_noncarrier	truth	50000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.005965278495544233	0.20062233333333335	0.015340501792114696	0.0
carrier_noncarrier	truth	50000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.017768106331055238	0.20062233333333335	0.02275229357798165	0.009174311926605505
carrier_noncarrier	truth	50000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.01797473598999583	0.20062233333333335	0.03654040404040405	0.007575757575757576
carrier_noncarrier	truth	50000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.041214380392316285	0.20062233333333335	0.090920245398773	0.024539877300613498
carrier_noncarrier	truth	50000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.05502734897844331	0.20062233333333335	0.12597849462365593	0.03870967741935484
carrier_noncarrier	truth	75000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.2477799994538323	0.28886799999999996	0.39938405797101456	0.021739130434782608
carrier_noncarrier	truth	75000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.05946014376779809	0.28886799999999996	0.06830065359477125	0.0
carrier_noncarrier	truth	75000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.03830107256889954	0.28886799999999996	0.06180722891566265	0.0
carrier_noncarrier	truth	75000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.039842738284102376	0.28886799999999996	0.06308243727598567	0.0
carrier_noncarrier	truth	75000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.05330228732293829	0.28886799999999996	0.058562691131498465	0.01834862385321101
carrier_noncarrier	truth	75000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.04684677434962567	0.28886799999999996	0.0751010101010101	0.0
carrier_noncarrier	truth	75000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.09717746234930051	0.28886799999999996	0.15674846625766872	0.024539877300613498
carrier_noncarrier	truth	75000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.1044481625408971	0.28886799999999996	0.17494623655913977	0.03225806451612903
noncarrier_noncarrier	truth	1000.0	[0.0, 0.05)	0.0	0.017342342342342342	111	0.0004568494654420519	0.0004786666666666667	0.4903303303303304	0.036036036036036036
noncarrier_noncarrier	truth	1000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.0005792910247437958	0.0004786666666666667	0.6083660130718954	0.0784313725490196
noncarrier_noncarrier	truth	1000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.0006329457884933586	0.0004786666666666667	0.6508232931726907	0.13253012048192772
noncarrier_noncarrier	truth	1000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0008165142047872447	0.0004786666666666667	0.7213978494623656	0.34408602150537637
noncarrier_noncarrier	truth	1000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.0009207699945985543	0.0004786666666666667	0.693165137614679	0.4036697247706422
noncarrier_noncarrier	truth	1000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0013024747654117972	0.0004786666666666667	0.6984469696969696	0.5303030303030303
noncarrier_noncarrier	truth	1000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.003177676586971793	0.0004786666666666667	0.5773926380368098	0.5766871165644172
noncarrier_noncarrier	truth	1000.0	[0.9, 1.01)	0.9	0.9127358490566035	53	0.005277530677594575	0.0004786666666666667	0.2842138364779874	0.2830188679245283
noncarrier_noncarrier	truth	5000.0	[0.0, 0.05)	0.0	0.017342342342342342	111	0.0025878503383449537	0.0026056666666666667	0.5031981981981983	0.0
noncarrier_noncarrier	truth	5000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.002992486046735659	0.0026056666666666667	0.6815686274509803	0.058823529411764705
noncarrier_noncarrier	truth	5000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.003226255833674839	0.0026056666666666667	0.7571887550200804	0.08433734939759036
noncarrier_noncarrier	truth	5000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.00406230236304205	0.0026056666666666667	0.8634408602150538	0.3548387096774194
noncarrier_noncarrier	truth	5000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.004882828780188783	0.0026056666666666667	0.880703363914373	0.5779816513761468
noncarrier_noncarrier	truth	5000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.006994711700891722	0.0026056666666666667	0.9252272727272729	0.7954545454545454
