arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	truth	carrier_carrier	50000.0	0.9	1.0	0.20062233333333335	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	75000.0	0.1	1.0	0.28886799999999996	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	75000.0	0.25	1.0	0.28886799999999996	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	75000.0	0.5	1.0	0.28886799999999996	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	75000.0	0.75	1.0	0.28886799999999996	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	75000.0	0.9	1.0	0.28886799999999996	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_noncarrier	1000.0	0.1	0.0	0.0004786666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	1000.0	0.25	0.0	0.0004786666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	1000.0	0.5	0.0	0.0004786666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	1000.0	0.75	0.0	0.0004786666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	1000.0	0.9	0.0	0.0004786666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	5000.0	0.1	0.0	0.0026056666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	5000.0	0.25	0.0	0.0026056666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	5000.0	0.5	0.0	0.0026056666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	5000.0	0.75	0.0	0.0026056666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	5000.0	0.9	0.0	0.0026056666666666667	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	10000.0	0.1	0.0	0.007359	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	10000.0	0.25	0.0	0.007359	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	10000.0	0.5	0.0	0.007359	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	10000.0	0.75	0.0	0.007359	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	10000.0	0.9	0.0	0.007359	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	20000.0	0.1	0.0	0.04594566666666666	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	20000.0	0.25	0.009486817325800376	0.04594566666666666	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	20000.0	0.5	0.027288042626547562	0.04594566666666666	299	0.9966777408637874	False
denovo_delayed_s0p01	truth	carrier_noncarrier	20000.0	0.75	0.04617404351087772	0.04594566666666666	133	0.44518272425249167	False
denovo_delayed_s0p01	truth	carrier_noncarrier	20000.0	0.9	0.06969334733700008	0.04594566666666666	8	0.029900332225913623	False
denovo_delayed_s0p01	truth	carrier_noncarrier	30000.0	0.1	0.01195556497359327	0.10093533333333334	300	1.0	False
