arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_af	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_p
denovo_delayed_s0p05	decode	overall	20000.0	100	300	0.78925	0.612515	0.07635933333333332	0.9890166666666667	0.94	0.94	0.0033222591362126247
denovo_s0p003	decode	overall	20000.0	100	300	0.4623499999999999	0.10836099999999999	0.07635933333333332	0.6571333333333332	0.14	0.14	0.28903654485049834
denovo_s0p004	decode	overall	20000.0	100	300	0.6128	0.13928699999999997	0.07635933333333332	0.8244833333333333	0.24	0.25	0.059800664451827246
denovo_s0p005	decode	overall	20000.0	100	300	0.7357	0.178321	0.07635933333333332	0.8842500000000001	0.39	0.39	0.013289036544850499
pulse_delayed_s0p005	decode	overall	20000.0	100	300	0.2801	0.073015	0.07635933333333332	0.46805	0.0	0.0	0.5332225913621262
pulse_s0p003	decode	overall	20000.0	100	300	0.5155000000000001	0.10132900000000003	0.07635933333333332	0.6470500000000001	0.11	0.11	0.3089700996677741
pulse_s0p004	decode	overall	20000.0	100	300	0.67495	0.14008400000000001	0.07635933333333332	0.7961	0.23	0.23	0.06312292358803986
pulse_s0p005	decode	overall	20000.0	100	300	0.8032499999999999	0.15579099999999999	0.07635933333333332	0.8619499999999999	0.32	0.32	0.03156146179401993
denovo_delayed_s0p01	decode_meanp	overall	20000.0	100	300	0.01875	0.14527453516049998	0.1463080011477	0.5023333333333333	0.0	0.01	0.49003322259136217
denovo_delayed_s0p05	decode_meanp	overall	20000.0	100	300	0.78925	0.6000151015620001	0.1463080011477	0.9749	0.9	0.91	0.0033222591362126247
denovo_s0p003	decode_meanp	overall	20000.0	100	300	0.4623499999999999	0.188489979809	0.1463080011477	0.6193333333333334	0.14	0.16	0.38870431893687707
denovo_s0p004	decode_meanp	overall	20000.0	100	300	0.6128	0.2350941125948	0.1463080011477	0.7973333333333333	0.21	0.26	0.11295681063122924
denovo_s0p005	decode_meanp	overall	20000.0	100	300	0.7357	0.2865551635445	0.1463080011477	0.8628333333333331	0.45	0.45	0.016611295681063124
