calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw016	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	16	158509049
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw017	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	17	2010026343
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw018	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	18	1420492452
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw019	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	19	1590055212
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw000	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	0	1070823420
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw001	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	1	171753251
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw002	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	2	1613868200
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw003	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	3	1770122935
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw004	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	4	1243258279
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw005	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	5	460269265
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw006	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	6	1340783338
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw007	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	7	1951381348
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw008	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	8	739975919
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw009	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	9	777566666
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw010	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	10	1294696813
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw011	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	11	1946962056
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw012	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	12	1774210263
