calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	elapsed_seconds	error	selection_intervals_json	canonical_result_source	reconciliation_id	reconciliation_mode	original_status	original_terminal_class	original_error	original_plan_sha256	original_ledger_sha256	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	selected_focal_identity_json	trajectory_sha256
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw004	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	4	1569213808	complete	True	segregating	345.0	0.345	False	True	81.0432778190002		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw005	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	5	1551163053	complete	True	segregating	214.0	0.214	False	True	76.40042902000005		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw006	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	6	122310622	complete	True	segregating	276.0	0.276	False	True	73.19137836300024		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw007	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	7	774967280	complete	True	segregating	273.0	0.273	False	True	86.77318654800001		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw008	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	8	481133654	complete	True	segregating	129.0	0.129	False	True	84.91645488599988		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw009	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	9	942938823	complete	True	segregating	119.0	0.119	True	True	99.1124021569999		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw010	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	10	484076058	complete	True	segregating	82.0	0.082	True	True	98.8119136119999		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw011	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	11	1652395807	complete	True	segregating	128.0	0.128	False	True	116.59638300200004		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw012	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	12	1990819532	complete	True	segregating	71.0	0.071	False	True	76.29591723600015		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw013	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	13	1983164161	complete	True	segregating	202.0	0.202	False	True	77.47477793300004		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw014	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	14	986036803	complete	True	segregating	525.0	0.525	False	True	82.75497855999993		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw015	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	15	775306284	complete	True	segregating	233.0	0.233	False	True	96.30880048500012		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
