position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
6630000	6630001	2000	0.02050548373	17252.94892	20	0.01	0.02050548373
6640000	6640001	2000	0.02280140009	21035.35	20	0.01	0.02280140009
6650000	6650001	2000	0.02670030656	20444.86104	21	0.0105	0.02670030656
6660000	6660001	2000	0.03348402922	19116.72631	21	0.0105	0.03348402922
6670000	6670001	2000	0.02714300631	20168.51813	22	0.011	0.02714300631
6680000	6680001	2000	0.02400739682	25453.1025	23	0.0115	0.02400739682
6690000	6690001	2000	0.02447494255	20617.60368	23	0.0115	0.02447494255
6700000	6700001	2000	0.02488558448	23616.85988	23	0.0115	0.02488558448
6710000	6710001	2000	0.02565691697	24806.92934	23	0.0115	0.02565691697
6720000	6720001	2000	0.0236337864	22156.34823	22	0.011	0.0236337864
6730000	6730001	2000	0.02287333579	19286.52054	21	0.0105	0.02287333579
6740000	6740001	2000	0.02384067619	16595.18141	21	0.0105	0.02384067619
6750000	6750001	2000	0.02944441392	25576.00436	22	0.011	0.02944441392
6760000	6760001	2000	0.02922316859	12735.82503	22	0.011	0.02922316859
6770000	6770001	2000	0.02684721246	16301.84117	21	0.0105	0.02684721246
6780000	6780001	2000	0.02476680759	18500.12434	20	0.01	0.02476680759
6790000	6790001	2000	0.02283466593	20050.6487	22	0.011	0.02283466593
6800000	6800001	2000	0.02428403344	19115.19094	21	0.0105	0.02428403344
6810000	6810001	2000	0.02709396336	27644.25559	20	0.01	0.02709396336
6820000	6820001	2000	0.02734854848	20601.46473	18	0.009	0.02734854848
6830000	6830001	2000	0.02961829163	11843.54022	18	0.009	0.02961829163
6840000	6840001	2000	0.03068026786	8738.811004	18	0.009	0.03068026786
6850000	6850001	2000	0.02744437388	8135.747345	18	0.009	0.02744437388
6860000	6860001	2000	0.02289058608	12429.9726	18	0.009	0.02289058608
6870000	6870001	2000	0.02171108115	15394.02129	18	0.009	0.02171108115
6880000	6880001	2000	0.02431911374	13186.04302	19	0.0095	0.02431911374
6890000	6890001	2000	0.02454584837	8938.326809	19	0.0095	0.02454584837
6900000	6900001	2000	0.02607296543	10732.3328	18	0.009	0.02607296543
