schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	threshold_years	posthoc_overall_score	decoder_cpp_overall_score	signed_difference	absolute_difference
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	50000	0.33128568236312855	0.33128389580000001	1.7865631285474137e-06	1.7865631285474137e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	1000	0.016684674221796064	0.01668338062	1.2936017960638035e-06	1.2936017960638035e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	4500	0.078199109642170361	0.07819599327	3.1163721703614256e-06	3.1163721703614256e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	10000	0.16191201623190535	0.1619083757	3.6405319053522955e-06	3.6405319053522955e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	20000	0.27064195011498082	0.27063841760000001	3.5325149808085321e-06	3.5325149808085321e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	30000	0.34039579597203595	0.34039267699999992	3.1189720360313977e-06	3.1189720360313977e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	40000	0.38692760932778869	0.38692455520000002	3.0541277886708684e-06	3.0541277886708684e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	50000	0.41968978251394934	0.41968716230000003	2.6202139493114451e-06	2.6202139493114451e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	1000	0.0061334409719756679	0.0061331261079998999	3.1486397576805519e-07	3.1486397576805519e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	4500	0.026461590347097556	0.026460890649999898	6.9969709765721477e-07	6.9969709765721477e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	10000	0.056021348753267954	0.05602059928	7.4947326795388181e-07	7.4947326795388181e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	20000	0.10264422395117252	0.1026437927999999	4.311511726251549e-07	4.311511726251549e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	30000	0.14199841500020854	0.14199820269999991	2.123002086351633e-07	2.123002086351633e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	40000	0.17573061349887886	0.1757304251	1.8839887885868656e-07	1.8839887885868656e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	50000	0.20493631660202344	0.20493623559999991	8.1002023533116585e-08	8.1002023533116585e-08
