unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	focal_status	focal_alt_count_full_sample	focal_alt_count_pair_panel	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	hom_ref_eligible	heterozygous_eligible	hom_alt_eligible	primary_shared_homozygote_eligible	exclusion_reason
eas_neutral_exact_population_af_reverse_bridge_r061	EAS	neutral	0	2026083661	25	unique_exact_focal_site	36	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r062	EAS	neutral	0	2026083662	25	unique_exact_focal_site	33	15	3570	1275	105	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r063	EAS	neutral	0	2026083663	25	unique_exact_focal_site	37	18	3321	1476	153	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r064	EAS	neutral	0	2026083664	25	unique_exact_focal_site	36	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r065	EAS	neutral	0	2026083665	25	unique_exact_focal_site	43	22	3003	1716	231	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r066	EAS	neutral	0	2026083666	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r067	EAS	neutral	0	2026083667	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r068	EAS	neutral	0	2026083668	25	unique_exact_focal_site	31	14	3655	1204	91	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r069	EAS	neutral	0	2026083669	25	unique_exact_focal_site	31	14	3655	1204	91	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r070	EAS	neutral	0	2026083670	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r071	EAS	neutral	0	2026083671	25	unique_exact_focal_site	40	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r072	EAS	neutral	0	2026083672	25	unique_exact_focal_site	37	18	3321	1476	153	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r073	EAS	neutral	0	2026083673	25	unique_exact_focal_site	45	24	2850	1824	276	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r074	EAS	neutral	0	2026083674	25	unique_exact_focal_site	44	23	2926	1771	253	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r075	EAS	neutral	0	2026083675	25	unique_exact_focal_site	43	22	3003	1716	231	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r076	EAS	neutral	0	2026083676	25	unique_exact_focal_site	32	14	3655	1204	91	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r077	EAS	neutral	0	2026083677	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r078	EAS	neutral	0	2026083678	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r079	EAS	neutral	0	2026083679	25	unique_exact_focal_site	44	23	2926	1771	253	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r080	EAS	neutral	0	2026083680	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
