cohort,score
Neutral,0.2405
Neutral,0.2405
Neutral,0.2406
Neutral,0.2408
Neutral,0.241
Neutral,0.2412
Neutral,0.2415
Neutral,0.2418
Neutral,0.2421
Neutral,0.2423
Neutral,0.2423
Neutral,0.2424
Neutral,0.2424
Neutral,0.2426
Neutral,0.2429
Neutral,0.2429
Neutral,0.2436
Neutral,0.2438
Neutral,0.2438
Neutral,0.2441
Neutral,0.2445
Neutral,0.2447
Neutral,0.2451
Neutral,0.2453
Neutral,0.2453
Neutral,0.2456
Neutral,0.2457
Neutral,0.2459
Neutral,0.246
Neutral,0.2461
Neutral,0.2462
Neutral,0.2463
Neutral,0.2463
Neutral,0.2466
Neutral,0.2468
Neutral,0.247
Neutral,0.2474
Neutral,0.2475
Neutral,0.2478
Neutral,0.2482
Neutral,0.2487
Neutral,0.2488
Neutral,0.2488
Neutral,0.2488
Neutral,0.2489
Neutral,0.2494
Neutral,0.2502
Neutral,0.2503
Neutral,0.2505
Neutral,0.2506
Neutral,0.2507
Neutral,0.2508
Neutral,0.2509
Neutral,0.2511
Neutral,0.2517
Neutral,0.2518
Neutral,0.2524
Neutral,0.2528
Neutral,0.253
Neutral,0.2531
Neutral,0.2531
Neutral,0.2532
Neutral,0.2533
Neutral,0.2539
Neutral,0.2548
Neutral,0.2553
Neutral,0.256
Neutral,0.256
Neutral,0.2566
Neutral,0.2568
Neutral,0.2572
Neutral,0.2578
Neutral,0.2578
Neutral,0.2593
Neutral,0.2601
Neutral,0.2608
Neutral,0.2612
Neutral,0.2622
Neutral,0.2627
Neutral,0.263
Neutral,0.2632
Neutral,0.265
Neutral,0.2658
Neutral,0.2664
Neutral,0.2665
Neutral,0.2667
Neutral,0.267
Neutral,0.2682
Neutral,0.2694
Neutral,0.2694
Neutral,0.2695
Neutral,0.2695
Neutral,0.2698
Neutral,0.27
Neutral,0.2706
Neutral,0.2714
Neutral,0.2716
Neutral,0.2724
Neutral,0.2728
Neutral,0.2731
Neutral,0.2732
Neutral,0.2741
Neutral,0.2743
Neutral,0.2744
Neutral,0.2746
Neutral,0.275
Neutral,0.275
Neutral,0.2751
Neutral,0.2751
Neutral,0.2761
Neutral,0.2771
Neutral,0.2771
