demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	921	23.025	0.00014425851125216387	0.014220342033704475
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	931	23.275	0.00014459224985540774	0.014972590412050051
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	941	23.525	0.00014522218995062446	0.015795627480209108
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	951	23.775	0.00014607069821793748	0.016687390061802896
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	961	24.025	0.0001465845793022574	0.017588562486805317
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	971	24.275	0.0001478852410529429	0.018634576454517892
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	981	24.525	0.0001484560570071259	0.019645362249368657
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	991	24.775	0.00014943215780035862	0.02076467788874729
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1001	25.025	0.00015028554253080853	0.021927909240392174
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1011	25.275	0.00015042117930204573	0.023046595422434372
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1021	25.525	0.00015124016938898973	0.02432819716860861
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1031	25.775	0.00015188335358444713	0.02564952922658048
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1041	26.025	0.00015229972586049346	0.02700103587026278
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1051	26.275	0.00015342129487572875	0.02854898598122108
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1061	26.525	0.00015432098765432098	0.030139330064280965
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1071	26.775	0.00015422578655151142	0.03161681857379855
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1081	27.025	0.00015508684863523573	0.03336317254921893
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1091	27.275	0.00015566625155666251	0.03514007978159577
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1101	27.525	0.00015625	0.037008498647362206
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1111	27.775	0.00015625	0.03883228200175842
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1121	28.025	0.00015649452269170578	0.04080330635004059
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1131	28.275	0.00015708451146716933	0.042960256006790626
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1141	28.525	0.00015693659761456373	0.045023088743507744
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1151	28.775	0.00015718327569946557	0.047293190883614826
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1161	29.025	0.00015718327569946557	0.049597701426970786
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1171	29.275	0.00015718327569946557	0.052008376372790606
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1181	29.525	0.00015782828282828284	0.05474104655130046
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1191	29.775	0.00015822784810126583	0.05752356389668568
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1201	30.025	0.0001585288522511097	0.06040282296523492
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1211	30.275	0.0001588310038119441	0.06341671698482461
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1221	30.525	0.00015862944162436547	0.0663733509897123
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1231	30.775	0.00015867978419549348	0.06956027656242862
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1241	31.025	0.00015862944162436547	0.0728453965883919
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1251	31.275	0.00015878056525881233	0.07636245289808098
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1261	31.525	0.0001591849729385546	0.08015193545813559
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1271	31.775	0.0001589825119236884	0.08381876015655995
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1281	32.025	0.00015888147442008263	0.08768830346737586
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1291	32.275	0.00015888147442008263	0.09177158530736503
